,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,6,4.5,21187,0,0,0,90,0,0,1,0,0,0,0,0,0,0,25,16.2,15.5,0.0,3.2,0,0,0,5,5,1,0,0,42,37,0,0,0,0,0,0,1,0,2,Cardiff
2,18 Aug 15:00,1,2,False,2,4.5,35599,7338,2469,4869,90,0,0,0,1,0,0,0,0,0,0,18,16.6,2.8,8.0,2.7,0,0,0,6,4,0,2,0,34,30,0,0,0,2,0,1,0,3,20,West Ham
3,25 Aug 15:00,2,2,True,-2,4.5,40754,7324,4908,2416,60,0,0,0,2,0,0,0,1,0,0,4,9.6,1.4,2.0,1.3,0,0,0,3,3,0,3,0,25,22,0,0,0,0,0,0,2,1,22,Everton
4,01 Sep 15:00,2,0,False,2,4.5,34980,667,6637,-5970,79,0,0,0,1,0,0,0,0,0,0,9,6.2,1.7,0.0,0.8,0,0,0,2,3,0,1,0,25,16,0,0,0,1,0,0,0,0,34,Chelsea
5,15 Sep 15:00,4,2,True,7,4.5,34355,1863,3269,-1406,90,1,0,0,2,0,0,0,0,0,0,19,34.6,3.6,21.0,5.9,0,0,0,0,4,0,0,0,31,23,0,0,0,0,0,0,2,0,41,Leicester
6,22 Sep 15:00,4,0,False,1,4.5,45164,11828,2742,9086,77,0,0,0,2,0,0,0,0,0,0,11,17.4,3.5,4.0,2.5,0,0,0,5,2,0,0,0,53,42,0,0,0,2,0,0,0,3,53,Burnley
7,01 Oct 20:00,2,1,True,2,4.5,44899,2177,2434,-257,90,0,0,0,1,0,0,0,0,0,0,17,14.2,17.6,2.0,3.4,0,1,0,3,3,1,2,0,37,31,0,0,0,1,0,0,0,0,62,Crystal Palace
8,06 Oct 15:00,0,4,False,6,4.5,43936,1196,2307,-1111,90,0,0,1,0,0,0,0,0,0,0,25,13.6,3.1,2.0,1.9,0,0,0,4,2,0,1,0,35,32,0,0,0,2,0,0,1,0,80,Watford
9,20 Oct 15:00,0,0,True,6,4.5,50025,7107,2436,4671,90,0,0,1,0,0,0,0,0,0,0,16,21.6,3.0,2.0,2.7,0,0,0,5,4,0,1,0,38,31,0,1,0,7,0,0,1,0,82,Southampton
10,27 Oct 15:00,0,3,False,6,4.5,52983,4628,2120,2508,90,0,0,1,0,0,0,0,0,0,0,24,8.6,3.8,6.0,1.8,0,0,0,5,3,0,0,0,34,26,0,0,0,0,0,0,0,1,94,Fulham
11,03 Nov 12:30,1,2,True,0,4.5,58701,8292,3433,4859,90,0,0,0,2,0,0,1,0,0,0,13,13.2,14.1,4.0,3.1,0,0,0,4,6,1,0,0,41,37,0,0,0,1,0,0,0,0,102,Man Utd
12,10 Nov 15:00,2,1,False,1,4.5,64486,7288,2752,4536,29,0,0,0,1,0,0,0,0,0,0,3,0.6,0.1,0.0,0.1,0,0,0,1,2,0,0,0,9,7,0,0,0,0,0,0,0,0,119,Newcastle
13,25 Nov 13:30,1,2,True,0,4.5,43820,217,19733,-19516,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,Arsenal
