entry,value
player_id,280
web_name,Agüero
team,Newcastle
first_name,Sergio
second_name,Agüero
cost_end,12.0
value_form,0.4
value_season,16.8
cost_change_start,10
cost_start,2.0
dreamteam_count,4
selected_by_percent,42.7
total_points,201
ppg,6.1
minutes,2457
goals_scored,21
assists,11
clean_sheets,17
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,26
bps,740
influence,946.6
creativity,523.7
threat,1685.0
ict_index,315.4
ea_index,0
position,Forward
