entry,value
player_id,353
web_name,Alderweireld
team,Spurs
first_name,Toby
second_name,Alderweireld
cost_end,6.0
value_form,0.5
value_season,17.8
cost_change_start,0
cost_start,6.0
dreamteam_count,1
selected_by_percent,3.7
total_points,107
ppg,3.1
minutes,2921
goals_scored,0
assists,0
clean_sheets,12
goals_conceded,31
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,7
bps,651
influence,690.2
creativity,139.1
threat,229.0
ict_index,105.7
ea_index,0
position,Defender
