entry,value
player_id,468
web_name,Alisson
team,Liverpool
first_name,Alisson
second_name,Ramses Becker
cost_end,5.9
value_form,0.8
value_season,29.8
cost_change_start,0.4
cost_start,5.5
dreamteam_count,1
selected_by_percent,23.4
total_points,176
ppg,4.6
minutes,3420
goals_scored,0
assists,0
clean_sheets,21
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,76
bonus,9
bps,771
influence,677.0
creativity,0.1
threat,0.0
ict_index,67.6
ea_index,0
position,Goalkeeper
