,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Feb 20:00,1.0,1.0,0.0,1.0,6.0,12654.0,8778.0,614.0,8164.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.4,14.7,2.0,2.3,0.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,260.0,Wolves
2,23 Feb 15:00,2.0,0.0,1.0,3.0,6.0,32647.0,17518.0,987.0,16531.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.6,75.3,52.0,15.4,0.0,2.0,0.0,1.0,3.0,6.0,1.0,0.0,28.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,269.0,Huddersfield
3,26 Feb 20:00,2.0,0.0,1.0,3.0,6.0,62749.0,34195.0,1311.0,32884.0,79.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.8,27.6,22.0,5.6,0.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,25.0,22.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,279.0,Burnley
4,02 Mar 17:30,2.0,0.0,0.0,2.0,6.0,72074.0,13603.0,3702.0,9901.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.8,3.8,1.0,1.5,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,26.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,289.0,West Ham
5,09 Mar 15:00,3.0,2.0,1.0,5.0,6.0,71983.0,5387.0,5518.0,-131.0,90.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.2,2.3,27.0,4.4,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,25.0,16.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,299.0,Everton
6,16 Mar 15:00,2.0,2.0,0.0,5.0,6.0,89605.0,8431.0,2065.0,6366.0,81.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,26.8,0.0,3.8,0.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,301.0,Bournemouth
7,01 Apr 20:00,2.0,0.0,0.0,2.0,6.0,57177.0,1516.0,14901.0,-13385.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.4,4.9,0.0,1.2,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,311.0,Arsenal
8,06 Apr 15:00,0.0,1.0,1.0,2.0,6.0,69726.0,6044.0,2694.0,3350.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.8,15.6,40.0,6.4,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,40.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,326.0,Crystal Palace
9,12 Apr 20:00,0.0,1.0,0.0,3.0,6.0,52523.0,556.0,16735.0,-16179.0,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.3,58.0,6.9,0.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,26.0,17.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,335.0,Leicester
10,20 Apr 17:30,3.0,1.0,1.0,2.0,6.0,40205.0,493.0,12163.0,-11670.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,23.4,14.5,33.0,7.1,0.0,1.0,0.0,2.0,4.0,1.0,2.0,0.0,10.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,348.0,Southampton
