,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,4,0,False,1,7.0,79349,0,0,0,90,0,0,0,4,0,0,1,0,0,0,5,18.6,14.0,24.0,5.7,0,0,0,3,5,1,2,0,13,7,0,0,0,3,1,1,2,2,5,Liverpool
2,18 Aug 15:00,1,2,True,0,7.0,77123,1646,8241,-6595,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Bournemouth
3,25 Aug 15:00,3,1,False,2,6.9,65056,286,12458,-12172,62,0,0,0,1,0,0,0,0,0,0,12,12.0,25.3,14.0,5.1,0,0,1,1,2,2,0,0,12,9,0,0,0,0,0,1,0,2,21,Arsenal
4,01 Sep 15:00,0,1,True,3,6.9,59005,519,7105,-6586,74,0,0,1,0,0,0,0,0,0,0,2,4.8,13.1,95.0,11.3,0,0,0,1,2,1,0,0,18,11,0,0,0,4,0,1,1,1,40,Wolves
5,16 Sep 16:00,1,3,False,1,6.9,56866,642,3298,-2656,26,0,0,0,0,0,0,0,0,0,0,2,0.2,0.8,36.0,3.7,0,0,0,0,2,0,0,0,10,5,0,0,0,1,0,0,1,1,43,Everton
6,23 Sep 13:30,0,0,True,3,6.8,54632,316,2767,-2451,64,0,0,1,0,0,0,0,0,0,0,3,1.4,1.6,37.0,4.0,0,0,0,0,1,0,0,0,12,11,0,1,0,0,0,1,0,1,60,Chelsea
7,29 Sep 12:30,3,1,True,1,6.8,53640,500,1705,-1205,7,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,2.0,0.3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,69,Man Utd
8,05 Oct 20:00,1,0,False,1,6.8,52823,554,1517,-963,30,0,0,0,0,0,0,0,0,0,0,3,4.8,1.9,11.0,1.8,0,0,0,0,0,0,0,0,11,7,0,0,0,1,0,0,0,1,71,Brighton
9,20 Oct 15:00,0,1,True,1,6.8,51416,361,1887,-1526,18,0,0,0,0,0,0,0,0,0,0,4,3.0,8.7,1.0,1.3,0,2,0,0,2,0,0,0,6,4,0,0,0,1,0,1,0,1,89,Spurs
10,27 Oct 17:30,1,1,False,1,6.8,50551,296,1281,-985,29,0,0,0,1,0,0,0,0,0,0,2,5.2,0.3,17.0,2.3,0,0,0,0,2,0,1,0,3,2,0,0,0,3,0,0,1,1,95,Leicester
11,03 Nov 15:00,4,2,True,4,6.8,49675,306,1288,-982,4,0,1,0,0,0,0,0,0,0,0,14,17.2,10.3,0.0,2.8,0,0,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,109,Burnley
12,10 Nov 15:00,1,1,False,4,6.8,49550,711,969,-258,26,0,1,0,0,0,0,0,0,0,0,4,0.0,0.2,20.0,1.5,0,0,0,0,1,0,0,0,3,2,0,0,0,5,0,2,1,0,115,Huddersfield
13,24 Nov 15:00,0,4,True,2,6.8,49173,426,911,-485,90,0,0,0,4,0,0,0,0,0,0,5,16.0,37.4,29.0,8.2,0,1,0,1,4,3,2,0,26,15,0,1,0,5,2,1,0,1,129,Man City
14,01 Dec 15:00,0,3,False,0,6.8,49594,860,533,327,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,Newcastle
15,04 Dec 19:45,3,1,True,7,6.8,49264,569,964,-395,90,1,0,0,1,0,0,0,0,0,0,23,39.2,1.2,37.0,7.7,0,0,0,4,6,0,0,0,24,16,0,0,0,2,0,1,2,0,147,Cardiff
16,08 Dec 15:00,3,2,True,0,6.8,51609,2585,708,1877,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,Crystal Palace
17,15 Dec 17:30,0,2,False,8,6.8,49809,527,2020,-1493,84,1,0,1,0,0,0,0,0,0,0,22,35.2,3.3,17.0,5.6,0,0,0,1,2,0,1,0,17,9,0,0,0,3,1,0,1,1,163,Fulham
18,22 Dec 15:00,0,2,True,1,6.8,52360,3041,837,2204,90,0,0,0,2,0,0,1,0,0,0,-8,5.0,23.4,34.0,6.2,0,0,0,3,4,2,0,0,28,18,0,1,0,4,1,3,4,0,179,Watford
19,27 Dec 19:45,1,2,False,7,6.8,51153,659,1820,-1161,90,0,1,0,1,0,0,0,0,0,2,28,36.4,25.8,19.0,8.1,0,0,1,5,10,2,1,0,52,37,0,0,0,7,0,1,1,8,188,Southampton
20,30 Dec 14:15,2,0,False,2,6.8,50988,855,1185,-330,90,0,0,0,2,0,0,0,0,0,0,10,17.8,3.2,18.0,3.9,0,0,0,3,5,0,1,0,47,33,0,0,0,5,0,0,2,5,192,Burnley
21,02 Jan 19:45,2,2,True,4,6.8,50473,742,1337,-595,27,0,1,0,0,0,0,0,0,0,0,12,19.2,11.3,17.0,4.8,0,0,0,0,2,1,0,0,13,8,0,0,0,1,0,1,1,2,209,Brighton
22,12 Jan 12:30,1,0,True,3,6.8,50266,1317,1748,-431,81,0,0,1,0,0,0,0,0,0,0,3,1.4,4.4,20.0,2.6,0,0,0,1,5,0,0,0,24,19,0,0,0,4,1,1,0,3,220,Arsenal
23,19 Jan 15:00,2,0,False,2,6.8,50521,1372,1302,70,90,0,0,0,2,0,0,0,0,0,0,5,7.0,33.2,20.0,6.0,0,1,0,2,2,2,0,0,31,24,0,0,0,5,1,2,1,2,222,Bournemouth
