,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,0,0,True,1,5.5,13490,0,0,0,55,0,0,0,0,0,0,0,0,0,0,5,5.0,29.2,6.0,4.0,0,0,0,0,2,2,0,0,13,9,0,0,0,0,1,0,0,1,8,Burnley
2,18 Aug 15:00,2,1,False,1,5.5,11316,169,2861,-2692,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,16,Everton
3,25 Aug 15:00,1,2,True,1,5.4,9782,134,1832,-1698,4,0,0,0,1,0,0,0,0,0,0,3,1.0,10.5,0.0,1.2,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,1,0,28,Leicester
4,01 Sep 15:00,0,2,False,0,5.4,8372,59,1539,-1480,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,Crystal Palace
5,17 Sep 20:00,2,2,True,0,5.3,7212,56,1231,-1175,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Brighton
6,22 Sep 15:00,3,0,False,1,5.3,6182,18,1087,-1069,35,0,0,0,0,0,0,0,0,0,0,4,7.8,1.2,0.0,0.9,0,0,0,1,5,0,1,0,19,16,0,0,0,2,0,0,0,0,58,Liverpool
7,29 Sep 15:00,2,0,False,1,5.2,5711,27,535,-508,19,0,0,0,2,0,0,0,0,0,0,1,4.4,1.5,17.0,2.3,0,0,0,1,2,0,0,0,10,8,0,0,0,2,0,0,0,0,70,Wolves
8,07 Oct 14:15,0,3,True,0,5.2,5399,27,348,-321,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,Chelsea
9,20 Oct 15:00,0,0,False,1,5.2,5055,31,391,-360,24,0,0,0,0,0,0,0,0,0,0,1,2.0,1.5,2.0,0.6,0,0,0,0,1,0,1,0,10,9,0,1,0,0,0,0,1,0,82,Bournemouth
10,27 Oct 15:00,0,0,True,0,5.1,4882,33,214,-181,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,Newcastle
11,04 Nov 15:00,6,1,False,1,5.1,4642,15,259,-244,8,0,0,0,1,0,0,0,0,0,0,3,0.8,5.3,0.0,0.6,0,0,0,0,2,0,0,0,10,10,0,0,0,0,0,0,0,0,107,Man City
12,10 Nov 15:00,1,1,True,3,5.1,4527,27,156,-129,73,0,0,1,0,0,0,0,0,0,0,6,8.6,21.8,22.0,5.2,0,0,0,1,1,2,2,0,17,13,0,1,0,0,0,1,2,0,120,Watford
13,24 Nov 15:00,3,2,False,14,5.1,4514,65,103,-38,80,2,0,0,3,0,0,0,0,0,2,44,71.0,6.3,33.0,11.0,0,0,0,0,5,0,0,0,41,36,0,0,0,3,0,0,0,0,125,Fulham
14,01 Dec 17:30,2,2,True,6,5.1,10506,5971,688,5283,90,1,0,0,2,0,0,1,0,0,0,26,47.6,16.4,25.0,8.9,0,0,0,3,4,1,0,0,44,34,0,0,0,0,0,1,1,2,140,Man Utd
15,05 Dec 20:00,3,1,False,2,5.1,32191,22328,1534,20794,80,0,0,0,3,0,0,0,0,0,0,9,3.2,17.2,4.0,2.4,0,0,0,1,4,1,0,0,42,35,0,0,0,1,1,0,2,1,150,Spurs
16,08 Dec 15:00,1,0,False,2,5.1,62807,29938,3168,26770,90,0,0,0,1,0,0,0,0,0,0,15,10.4,16.8,10.0,3.7,0,0,0,4,8,1,1,0,45,36,0,0,0,1,0,0,1,0,154,Cardiff
17,16 Dec 13:30,3,2,True,1,5.1,54596,4286,9870,-5584,90,0,0,0,2,0,0,1,0,0,0,11,15.4,34.5,28.0,7.8,0,0,0,0,4,3,2,0,30,24,0,0,0,3,0,0,1,0,167,Arsenal
18,22 Dec 15:00,1,3,False,2,5.1,55560,6607,6217,390,68,0,0,0,1,0,0,0,0,0,0,15,14.8,43.1,2.0,6.0,0,0,0,1,5,4,1,0,31,23,0,0,0,3,0,0,0,3,176,Huddersfield
19,27 Dec 19:45,1,2,True,2,5.1,49496,2240,8240,-6000,90,0,0,0,2,0,0,0,0,0,0,15,11.8,28.6,32.0,7.2,0,0,0,0,8,2,1,0,54,46,0,0,0,1,0,2,0,2,188,West Ham
20,30 Dec 14:15,1,3,True,0,5.1,41194,523,8638,-8115,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,Man City
21,02 Jan 19:45,0,0,False,3,5.1,35313,339,6557,-6218,88,0,0,1,0,0,0,0,0,0,0,8,10.4,14.3,11.0,3.6,0,0,0,3,5,1,0,0,29,21,0,0,0,2,0,0,1,2,204,Chelsea
22,12 Jan 15:00,1,2,False,1,5.1,27714,644,8326,-7682,56,0,0,0,0,0,0,0,0,0,0,2,3.8,10.9,21.0,3.6,0,0,0,4,5,1,0,0,12,9,0,0,0,3,0,1,1,0,217,Leicester
23,19 Jan 15:00,2,1,True,1,5.1,24902,1230,4119,-2889,4,0,0,0,1,0,0,0,0,0,0,1,0.0,0.6,0.0,0.0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,1,0,228,Everton
