,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,4,0,False,2,7.0,973948,0,0,0,66,0,0,0,3,0,0,0,0,0,0,-1,0.0,2.6,28.0,2.6,0,0,0,0,0,0,0,0,11,11,0,0,0,3,1,1,2,0,5,Liverpool
2,18 Aug 15:00,1,2,True,8,7.0,1024707,68153,71734,-3581,90,1,0,0,2,0,0,0,0,0,2,35,45.0,38.5,48.0,13.2,0,1,0,0,1,3,1,0,27,19,0,0,0,0,0,1,0,0,20,Bournemouth
3,25 Aug 15:00,3,1,False,5,7.0,1043371,112101,119621,-7520,58,1,0,0,1,0,0,0,0,0,0,19,33.4,13.9,43.0,9.0,0,0,0,1,0,1,0,0,16,13,0,1,0,1,1,3,1,0,21,Arsenal
4,01 Sep 15:00,0,1,True,2,7.0,980692,67863,139186,-71323,90,0,0,0,1,0,0,0,0,0,0,0,6.8,1.3,34.0,4.2,0,0,0,1,6,0,1,0,26,14,0,1,0,5,1,1,3,3,40,Wolves
5,16 Sep 16:00,1,3,False,12,7.0,927762,65059,129716,-64657,63,1,1,0,1,0,0,0,0,0,3,43,49.4,12.3,25.0,8.7,0,0,1,0,3,1,0,0,17,14,0,0,0,1,0,0,0,0,43,Everton
6,23 Sep 13:30,0,0,True,0,7.0,829511,31498,130050,-98552,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Chelsea
7,29 Sep 12:30,3,1,True,7,6.9,753356,18211,97833,-79622,82,1,0,0,1,0,0,0,0,0,1,30,32.6,16.3,37.0,8.6,0,0,0,0,1,1,0,0,36,29,0,0,0,4,0,1,0,0,69,Man Utd
8,05 Oct 20:00,1,0,False,1,7.0,1030596,260445,14961,245484,90,0,0,0,1,0,0,1,0,0,0,3,7.6,36.3,66.0,11.0,0,0,0,0,0,3,1,0,35,29,0,0,0,6,1,2,2,2,71,Brighton
9,20 Oct 15:00,0,1,True,1,7.0,958191,61401,117732,-56331,90,0,0,0,1,0,0,1,0,0,0,7,18.6,15.7,71.0,10.5,0,0,0,1,3,1,1,0,31,25,0,0,0,1,3,1,1,2,89,Spurs
10,27 Oct 17:30,1,1,False,0,7.0,1007897,102095,60801,41294,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,Leicester
11,03 Nov 15:00,4,2,True,12,7.0,1030984,132132,114686,17446,90,1,1,0,2,0,0,0,0,0,3,47,50.6,33.4,73.0,15.7,0,0,1,1,3,2,2,0,47,36,0,1,0,1,0,0,0,0,109,Burnley
12,10 Nov 15:00,1,1,False,2,7.1,1306843,277710,16424,261286,90,0,0,0,1,0,0,0,0,0,0,11,12.8,29.1,23.0,6.5,0,1,0,0,3,2,0,0,33,24,0,1,0,0,0,0,1,3,115,Huddersfield
13,24 Nov 15:00,0,4,True,2,7.1,1245910,60865,107450,-46585,90,0,0,0,4,0,0,0,0,0,0,5,5.0,24.9,36.0,6.6,0,0,0,1,3,2,0,0,25,18,0,0,0,0,0,1,3,0,129,Man City
14,01 Dec 15:00,0,3,False,5,7.1,1256024,74637,74327,310,70,0,1,1,0,0,0,0,0,0,0,25,29.0,41.0,14.0,8.4,0,1,3,1,3,3,0,0,25,12,0,1,0,1,1,0,1,2,139,Newcastle
15,04 Dec 19:45,3,1,True,0,7.2,1382838,144273,27553,116720,39,0,0,0,0,0,0,1,0,0,0,-6,0.0,11.0,25.0,3.3,0,0,0,0,1,1,0,0,11,7,1,1,0,1,0,1,1,2,147,Cardiff
16,08 Dec 15:00,3,2,True,0,7.0,643833,2400,716153,-713753,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,Crystal Palace
