,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,False,0,5.0,14476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bournemouth
2,18 Aug 12:30,0,0,True,2,5.0,14972,320,2350,-2030,90,0,0,1,0,0,0,1,0,0,0,11,17.2,14.3,1.0,3.3,0,0,0,2,8,1,2,0,43,32,0,0,0,0,1,1,3,3,13,Newcastle
3,25 Aug 15:00,0,0,False,2,5.0,14612,550,1480,-930,90,0,0,1,0,0,0,1,0,0,0,8,12.2,4.8,8.0,2.5,0,0,0,2,6,0,0,0,44,36,0,0,0,0,0,1,1,0,24,Huddersfield
4,02 Sep 13:30,2,3,True,1,5.0,14231,321,1104,-783,90,0,0,0,3,0,0,1,0,0,0,4,8.8,1.8,16.0,2.7,0,0,0,3,8,0,1,0,27,24,0,0,0,0,0,2,2,0,33,Arsenal
5,15 Sep 15:00,4,1,False,1,5.0,13997,452,1123,-671,45,0,0,0,2,0,0,0,0,0,0,5,0.2,0.1,0.0,0.0,0,0,0,0,5,0,1,0,9,6,0,0,0,0,0,0,1,0,42,Chelsea
6,22 Sep 15:00,0,5,True,2,5.0,12768,102,1434,-1332,90,0,0,0,5,0,0,0,0,0,0,9,3.6,1.7,0.0,0.5,0,0,0,1,5,0,1,0,25,22,0,0,0,0,0,0,1,1,54,Man City
7,30 Sep 16:00,1,2,True,2,4.9,12655,173,468,-295,90,0,0,0,2,0,0,0,0,0,0,12,6.4,3.3,0.0,1.0,0,0,0,0,5,0,2,0,34,27,0,0,0,1,0,0,0,0,63,Burnley
8,06 Oct 15:00,1,0,False,1,4.9,12610,164,329,-165,90,0,0,0,1,0,0,1,0,0,0,5,15.2,1.7,16.0,3.3,0,0,0,3,3,0,0,0,24,18,0,0,0,0,0,0,0,0,79,Spurs
9,20 Oct 15:00,4,2,True,2,4.9,12655,288,445,-157,85,0,0,0,2,0,0,0,0,0,0,11,7.8,24.8,1.0,3.4,0,0,0,2,5,2,1,0,28,24,0,0,0,0,0,1,0,0,83,Fulham
10,27 Oct 15:00,4,1,False,0,4.9,12308,94,500,-406,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Liverpool
11,03 Nov 15:00,0,1,True,1,4.9,11755,35,635,-600,78,0,0,0,1,0,0,1,0,0,0,4,11.2,22.1,2.0,3.5,0,0,0,3,3,2,0,0,27,24,0,0,0,2,0,0,1,0,103,Leicester
12,10 Nov 12:30,2,1,True,0,4.9,11253,27,590,-563,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,Brighton
13,24 Nov 15:00,1,0,False,2,4.9,11238,66,196,-130,73,0,0,0,1,0,0,0,0,0,0,7,7.2,2.1,0.0,0.9,0,0,0,2,6,0,0,0,19,13,0,0,0,0,0,0,2,0,124,Everton
14,30 Nov 20:00,2,1,True,2,4.9,11253,65,102,-37,75,0,0,0,1,0,0,0,0,0,0,3,5.4,1.4,22.0,2.9,0,0,0,1,2,0,0,0,19,17,0,0,0,1,1,1,0,0,132,Wolves
15,04 Dec 19:45,3,1,False,2,4.9,11280,96,104,-8,90,0,0,0,3,0,0,0,0,0,0,12,5.6,6.4,0.0,1.2,0,0,0,1,1,0,1,0,30,25,0,0,0,0,0,0,0,0,147,West Ham
16,08 Dec 15:00,1,0,True,3,4.9,11301,111,148,-37,90,0,0,1,0,0,0,0,0,0,0,13,22.2,15.9,23.0,6.1,0,1,1,2,11,1,0,0,29,19,0,0,0,0,0,0,2,0,154,Southampton
17,15 Dec 15:00,3,2,False,2,4.9,11356,122,180,-58,90,0,0,0,3,0,0,0,0,0,0,15,15.6,1.4,10.0,2.7,0,0,0,4,7,0,3,0,25,21,0,0,0,0,0,0,1,0,169,Watford
18,22 Dec 17:30,1,5,True,2,4.9,11373,78,145,-67,60,0,0,0,4,0,0,0,0,0,0,7,1.2,0.8,0.0,0.2,0,0,0,1,1,0,1,0,13,10,0,0,0,0,0,0,1,0,173,Man Utd
19,26 Dec 15:00,0,0,False,1,4.9,11363,81,161,-80,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,Crystal Palace
20,29 Dec 15:00,0,1,False,3,4.9,11318,49,170,-121,90,0,0,1,0,0,0,0,0,0,0,13,11.8,4.1,16.0,3.2,0,0,0,5,6,0,0,0,33,28,0,0,0,0,0,0,1,0,195,Leicester
21,01 Jan 17:30,0,3,True,2,4.9,11325,106,167,-61,90,0,0,0,3,0,0,0,0,0,0,15,3.2,6.0,0.0,0.9,0,1,0,1,7,0,2,0,33,30,0,0,1,0,0,0,1,0,203,Spurs
22,12 Jan 15:00,0,0,True,2,4.9,11434,213,268,-55,90,0,0,1,0,0,0,1,0,0,0,10,12.2,5.3,8.0,2.6,0,1,0,4,9,0,1,0,28,18,0,0,0,1,0,0,0,0,213,Huddersfield
23,19 Jan 15:00,3,0,False,0,4.9,11436,117,198,-81,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,Newcastle
24,29 Jan 19:45,2,1,False,1,4.9,11136,23,352,-329,80,0,0,0,1,0,0,1,0,0,0,8,4.0,11.8,9.0,2.5,0,0,0,0,4,1,3,0,20,17,0,0,0,1,0,1,1,0,231,Arsenal
25,02 Feb 17:30,2,0,True,0,4.9,11005,21,175,-154,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,Bournemouth
26,09 Feb 15:00,1,2,False,2,4.9,11029,58,120,-62,90,0,0,0,1,0,0,0,0,0,0,9,6.6,10.4,8.0,2.5,0,2,0,1,3,0,1,0,29,23,0,0,0,0,0,1,1,0,257,Southampton
27,22 Feb 19:45,1,5,True,2,4.9,11192,113,84,29,90,0,0,0,5,0,0,0,0,0,0,10,2.0,9.4,2.0,1.3,0,0,0,1,7,0,2,0,46,35,0,0,1,0,0,0,1,0,264,Watford
28,26 Feb 19:45,0,3,True,0,4.9,11229,61,66,-5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,Everton
29,02 Mar 15:00,2,0,False,0,4.9,11221,29,70,-41,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,Wolves
30,09 Mar 15:00,2,0,True,2,4.9,11235,44,82,-38,83,0,0,1,0,0,0,1,0,0,0,6,1.2,1.6,1.0,0.4,0,0,0,2,9,0,2,0,21,18,0,0,0,1,0,1,3,0,292,West Ham
31,31 Mar 14:05,1,2,True,5,4.9,11260,30,89,-59,79,0,1,1,0,0,0,1,0,0,0,17,49.8,25.3,0.0,7.5,0,1,0,4,5,2,0,0,22,15,0,0,0,0,0,0,1,0,314,Chelsea
32,03 Apr 19:45,2,0,False,0,4.9,11260,30,89,-59,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,Man City
33,13 Apr 15:00,2,0,False,1,4.9,11532,195,78,117,80,0,0,0,1,0,0,1,0,0,0,8,0.0,12.3,27.0,3.8,0,0,0,0,2,1,0,0,30,27,0,0,0,0,0,1,1,0,332,Burnley
34,16 Apr 19:45,0,2,False,0,4.9,11532,195,78,117,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,Brighton
35,21 Apr 16:00,0,2,True,0,4.9,11387,29,180,-151,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,Liverpool
36,27 Apr 15:00,1,0,False,0,4.9,11301,10,118,-108,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,Fulham
37,04 May 17:30,2,3,True,0,4.9,11225,3,99,-96,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,Crystal Palace
38,12 May 15:00,0,2,False,0,4.9,11177,22,79,-57,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,Man Utd
