,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 16:00,0,2,True,2,11.0,924935,0,0,0,90,0,0,0,2,0,0,0,0,0,0,5,1.0,12.2,1.0,1.4,0,0,0,0,3,1,0,0,20,14,0,0,0,1,1,1,0,0,1,Man City
2,18 Aug 17:30,3,2,False,2,11.0,903963,19244,107333,-88089,90,0,0,0,3,0,0,0,0,0,0,-4,4.2,11.1,32.0,4.7,0,0,0,1,0,1,0,0,11,9,0,2,0,0,2,2,1,0,14,Chelsea
3,25 Aug 15:00,3,1,True,2,11.0,865202,107697,168637,-60940,74,0,0,0,1,0,0,0,0,0,0,12,13.4,52.3,28.0,9.4,0,1,0,0,0,4,0,0,24,18,0,0,0,1,0,1,0,3,21,West Ham
4,02 Sep 13:30,2,3,False,8,10.9,744360,22584,148224,-125640,88,1,0,0,2,0,0,0,0,0,2,33,39.6,6.2,29.0,7.5,0,0,0,2,3,0,2,0,28,23,0,0,0,3,0,0,0,0,33,Cardiff
5,15 Sep 15:00,1,2,False,5,10.9,698556,25691,83886,-58195,68,0,1,1,0,0,0,0,0,0,0,12,0.0,4.0,12.0,1.6,0,0,0,1,2,0,0,0,19,14,0,0,0,2,0,1,0,0,46,Newcastle
6,23 Sep 16:00,2,0,True,7,10.9,637110,18571,83324,-64753,68,1,0,1,0,0,0,0,0,0,1,32,41.4,12.5,31.0,8.5,0,0,0,1,7,1,0,0,23,16,0,0,0,3,1,0,0,3,51,Everton
7,29 Sep 15:00,2,0,True,2,10.8,624075,19938,39094,-19156,76,0,0,1,0,0,0,0,0,0,0,9,4.8,13.0,2.0,2.0,0,0,1,3,2,1,0,0,17,12,0,0,0,2,0,0,1,1,61,Watford
8,07 Oct 12:00,1,5,False,15,10.8,494015,5657,133050,-127393,28,2,1,0,0,0,0,0,0,0,3,61,83.2,11.6,40.0,13.5,0,0,0,0,1,1,0,0,9,8,0,0,0,0,0,0,0,0,74,Fulham
9,22 Oct 20:00,3,1,True,12,10.7,546595,67009,27996,39013,29,2,0,0,0,0,0,0,0,0,3,59,70.8,2.5,70.0,14.3,0,0,0,0,3,0,1,1,20,14,0,0,0,0,0,0,0,2,81,Leicester
10,28 Oct 13:30,2,2,False,8,10.8,802073,245845,12577,233268,77,1,0,0,1,0,0,0,0,0,2,28,40.2,4.1,64.0,10.8,0,0,0,2,1,0,0,0,24,20,0,0,0,3,0,0,0,0,93,Crystal Palace
11,03 Nov 17:30,1,1,True,2,10.9,893574,150164,51390,98774,72,0,0,0,1,0,0,0,0,0,0,7,1.4,14.9,30.0,4.6,0,1,1,1,2,1,0,0,9,5,0,0,0,0,2,1,1,0,101,Liverpool
