,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,0,0,True,2,6.0,85810,0,0,0,71,0,0,1,0,0,0,0,0,0,0,5,5.2,21.8,8.0,3.5,0,0,0,0,2,2,0,0,10,7,0,0,0,1,0,0,2,0,8,Burnley
2,18 Aug 15:00,2,1,False,1,6.0,82895,3311,10575,-7264,57,0,0,0,2,0,0,0,0,0,0,0,6.4,0.6,34.0,4.1,0,0,0,4,1,0,0,0,13,7,0,0,0,0,3,1,1,0,16,Everton
3,25 Aug 15:00,1,2,True,1,5.9,63580,2108,22387,-20279,21,0,0,0,1,0,0,0,0,0,0,3,4.0,0.0,0.0,0.4,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,28,Leicester
4,01 Sep 15:00,0,2,False,-1,5.8,50475,1482,15578,-14096,28,0,0,0,0,0,0,0,0,0,0,-12,3.2,0.8,39.0,4.3,0,0,0,1,0,0,0,0,5,4,0,2,0,2,0,1,0,0,35,Crystal Palace
5,17 Sep 20:00,2,2,True,0,5.7,36641,905,15125,-14220,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Brighton
6,22 Sep 15:00,3,0,False,1,5.7,31155,405,6259,-5854,11,0,0,0,0,0,0,0,0,0,0,3,5.0,0.1,17.0,2.2,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,58,Liverpool
7,29 Sep 15:00,2,0,False,2,5.6,28263,355,3506,-3151,76,0,0,1,0,0,0,0,0,0,0,5,8.2,13.9,13.0,3.5,0,0,0,1,2,2,0,0,14,10,0,0,0,1,1,1,0,0,70,Wolves
8,07 Oct 14:15,0,3,True,0,5.6,26771,292,1945,-1653,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,Chelsea
9,20 Oct 15:00,0,0,False,2,5.5,24880,330,2421,-2091,77,0,0,1,0,0,0,0,0,0,0,6,11.6,13.1,6.0,3.1,0,0,0,2,2,1,1,0,14,6,0,1,0,0,2,0,0,1,82,Bournemouth
10,27 Oct 15:00,0,0,True,2,5.5,24899,810,1022,-212,62,0,0,1,0,0,0,0,0,0,0,2,0.0,1.1,11.0,0.8,0,0,0,1,1,0,0,0,11,6,0,0,0,0,0,2,2,0,98,Newcastle
11,04 Nov 15:00,6,1,False,0,5.5,23325,250,1838,-1588,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,Man City
12,10 Nov 15:00,1,1,True,1,5.5,22782,357,1063,-706,50,0,0,0,1,0,0,0,0,0,0,1,0.2,1.3,28.0,3.0,0,0,0,1,3,0,0,0,7,5,0,0,0,0,2,0,1,0,120,Watford
