entry,value
player_id,348
web_name,Austin
team,Swansea
first_name,Charlie
second_name,Austin
cost_end,5.5
value_form,0.1
value_season,8.4
cost_change_start,-5
cost_start,10.5
dreamteam_count,0
selected_by_percent,0.4
total_points,46
ppg,1.8
minutes,970
goals_scored,2
assists,2
clean_sheets,5
goals_conceded,17
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,1
red_cards,0
saves,0
bonus,1
bps,117
influence,158.4
creativity,115.3
threat,405.0
ict_index,67.4
ea_index,0
position,Forward
