,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,3,False,6,6.5,745918,0,0,0,90,0,0,1,0,0,0,0,0,0,0,29,22.6,9.9,0.0,3.3,0,1,0,6,8,0,0,0,76,70,0,0,0,2,0,0,0,1,4,Huddersfield
2,18 Aug 17:30,3,2,True,4,6.5,779796,9674,40792,-31118,90,0,1,0,2,0,0,0,0,0,0,27,41.6,38.1,0.0,8.0,0,0,0,4,3,3,1,0,66,62,0,0,0,0,0,0,2,0,14,Arsenal
3,26 Aug 16:00,1,2,False,2,6.5,737759,15168,77439,-62271,90,0,0,0,1,0,0,0,0,0,0,15,22.4,11.0,35.0,6.8,0,0,0,4,2,0,2,0,90,82,0,0,0,1,1,0,1,0,27,Newcastle
4,01 Sep 15:00,2,0,True,6,6.5,692596,8927,68127,-59200,90,0,0,1,0,0,0,0,0,0,0,27,18.4,20.8,0.0,3.9,0,1,0,3,4,1,0,0,61,52,0,0,0,0,0,0,0,1,34,Bournemouth
5,15 Sep 15:00,4,1,True,2,6.4,669734,13044,49378,-36334,90,0,0,0,1,0,0,0,0,0,0,24,21.4,46.6,0.0,6.8,0,2,0,0,7,3,3,0,76,69,0,0,0,1,0,0,1,1,42,Cardiff
6,23 Sep 13:30,0,0,False,6,6.4,641881,7825,37896,-30071,90,0,0,1,0,0,0,0,0,0,0,25,16.8,20.6,0.0,3.7,0,1,0,1,3,1,0,0,80,76,0,0,0,0,0,0,2,0,60,West Ham
7,29 Sep 17:30,1,1,True,2,6.4,625849,7903,26889,-18986,90,0,0,0,1,0,0,0,0,0,0,13,9.4,2.3,0.0,1.2,0,0,0,1,3,0,2,0,65,48,0,0,0,0,0,0,0,0,64,Liverpool
8,07 Oct 14:15,0,3,False,6,6.4,615060,7158,23093,-15935,90,0,0,1,0,0,0,0,0,0,0,19,10.2,7.9,22.0,4.0,0,1,0,2,2,0,0,0,56,46,0,0,0,2,0,0,3,0,78,Southampton
9,20 Oct 12:30,2,2,True,1,6.4,597444,5231,25352,-20121,90,0,0,0,2,0,0,0,0,0,0,17,11.2,16.7,6.0,3.4,0,1,0,3,11,1,1,0,45,39,0,0,0,0,0,1,0,0,84,Man Utd
10,28 Oct 13:30,0,4,False,7,6.4,585616,5224,20178,-14954,90,0,0,1,0,0,0,0,0,0,1,32,23.4,18.3,2.0,4.4,0,1,1,7,5,1,0,0,75,68,0,0,0,0,0,0,0,0,92,Burnley
11,04 Nov 16:00,3,1,True,2,6.4,584015,8790,13619,-4829,90,0,0,0,1,0,0,0,0,0,0,13,11.6,5.1,2.0,1.9,0,0,0,1,8,0,1,0,86,70,0,0,0,1,0,0,0,0,104,Crystal Palace
12,11 Nov 14:15,0,0,True,6,6.3,571568,3650,17263,-13613,90,0,0,1,0,0,0,0,0,0,0,24,23.8,3.8,0.0,2.8,0,0,0,5,4,0,1,0,62,55,0,0,0,1,0,0,2,0,113,Everton
