entry,value
player_id,113
web_name,Azpilicueta
team,Chelsea
first_name,César
second_name,Azpilicueta
cost_end,6.4
value_form,0.7
value_season,24.7
cost_change_start,-0.1
cost_start,6.5
dreamteam_count,2
selected_by_percent,9.6
total_points,158
ppg,4.2
minutes,3402
goals_scored,1
assists,6
clean_sheets,16
goals_conceded,39
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,11
bps,822
influence,815.0
creativity,525.1
threat,286.0
ict_index,163.2
ea_index,0
position,Defender
