entry,value
player_id,575
web_name,Babel
team,Fulham
first_name,Ryan
second_name,Babel
cost_end,5.6
value_form,0.7
value_season,13.4
cost_change_start,0.1
cost_start,5.5
dreamteam_count,2
selected_by_percent,1.7
total_points,75
ppg,4.7
minutes,1250
goals_scored,5
assists,4
clean_sheets,3
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,8
bps,246
influence,322.0
creativity,336.8
threat,355.0
ict_index,101.5
ea_index,0
position,Midfielder
