,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,3,False,3,6.0,22315,0,0,0,67,0,0,1,0,0,0,0,0,0,0,12,7.4,17.8,20.0,4.5,0,0,0,2,5,1,1,0,44,39,0,0,0,2,0,0,2,1,4,Huddersfield
2,18 Aug 17:30,3,2,True,1,6.0,26353,2432,3914,-1482,59,0,0,0,2,0,0,0,0,0,0,8,3.0,7.0,20.0,3.0,0,0,0,2,4,0,0,0,46,39,0,0,0,1,0,1,1,2,14,Arsenal
3,26 Aug 16:00,1,2,False,1,6.0,26060,3180,5381,-2201,11,0,0,0,1,0,0,0,0,0,0,3,1.0,1.6,0.0,0.3,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,27,Newcastle
4,01 Sep 15:00,2,0,True,0,5.9,23266,1130,4749,-3619,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Bournemouth
5,15 Sep 15:00,4,1,True,1,5.8,20177,437,4046,-3609,40,0,0,0,0,0,0,0,0,0,0,8,6.0,6.4,0.0,1.2,0,0,0,0,1,0,0,0,54,52,0,0,0,2,0,0,0,1,42,Cardiff
6,23 Sep 13:30,0,0,False,1,5.8,18944,351,2020,-1669,11,0,0,0,0,0,0,0,0,0,0,4,3.8,1.1,7.0,1.2,0,0,0,0,3,0,0,0,9,8,0,0,0,0,0,0,0,0,60,West Ham
7,29 Sep 17:30,1,1,True,1,5.8,17986,256,1432,-1176,9,0,0,0,1,0,0,0,0,0,0,1,0.4,1.0,0.0,0.1,0,0,0,0,1,0,0,0,4,3,0,0,0,2,0,0,0,0,64,Liverpool
8,07 Oct 14:15,0,3,False,13,5.7,17641,306,839,-533,80,1,1,1,0,0,0,0,0,0,2,39,50.6,17.4,56.0,12.4,0,0,1,0,6,1,0,0,51,48,0,0,0,2,0,1,3,0,78,Southampton
9,20 Oct 12:30,2,2,True,6,5.7,41342,25953,4545,21408,21,1,0,0,1,0,0,0,0,0,0,20,35.6,2.3,43.0,8.1,0,0,0,0,1,0,1,0,16,15,0,0,0,2,0,0,1,0,84,Man Utd
10,28 Oct 13:30,0,4,False,17,5.7,85708,44764,4223,40541,90,1,2,1,0,0,0,0,0,0,3,54,77.4,49.8,16.0,14.3,0,0,1,1,4,4,0,0,96,91,0,0,0,1,0,1,0,0,92,Burnley
11,04 Nov 16:00,3,1,True,2,5.9,552321,454675,9016,445659,63,0,0,0,1,0,0,0,0,0,0,6,3.6,6.8,1.0,1.1,0,0,0,0,5,0,0,0,66,61,0,0,0,6,0,1,1,1,104,Crystal Palace
12,11 Nov 14:15,0,0,True,1,6.0,586162,98939,54089,44850,8,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,19.0,1.8,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,1,0,0,113,Everton
13,24 Nov 17:30,3,1,False,1,5.9,489810,28903,123742,-94839,32,0,0,0,0,0,0,0,0,0,0,7,7.6,26.2,22.0,5.6,0,1,0,0,2,2,0,0,13,9,0,0,0,0,0,0,0,1,127,Spurs
14,02 Dec 12:00,2,0,True,0,5.9,444426,18195,68675,-50480,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,Fulham
15,05 Dec 19:45,2,1,False,0,5.8,306061,3169,137954,-134785,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,Wolves
16,08 Dec 17:30,2,0,True,1,5.7,246417,1852,63982,-62130,25,0,0,0,0,0,0,0,0,0,0,2,5.2,0.8,12.0,1.8,0,0,0,2,4,0,0,0,16,14,0,1,0,0,0,1,0,1,155,Man City
17,16 Dec 13:30,1,2,False,1,5.6,205412,2382,46306,-43924,15,0,0,0,0,0,0,0,0,0,0,1,0.4,0.6,1.0,0.2,0,0,0,1,0,0,0,0,8,8,0,0,0,1,0,1,0,0,161,Brighton
18,22 Dec 15:00,0,1,True,0,5.5,176059,1422,32325,-30903,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,Leicester
19,26 Dec 19:30,1,2,False,1,5.4,146653,849,30431,-29582,10,0,0,0,0,0,0,0,0,0,0,4,1.6,1.2,0.0,0.3,0,0,0,0,2,0,0,0,14,11,0,0,0,0,0,0,0,1,190,Watford
20,30 Dec 12:00,0,1,False,3,5.3,127873,1055,20249,-19194,87,0,0,1,0,0,0,0,0,0,0,10,8.4,11.5,22.0,4.2,0,0,0,3,3,0,0,0,76,71,0,0,0,3,0,1,1,1,193,Crystal Palace
