entry,value
player_id,335
web_name,Bednarek
team,Southampton
first_name,Jan
second_name,Bednarek
cost_end,4.0
value_form,0.3
value_season,12.3
cost_change_start,0.0
cost_start,4.0
dreamteam_count,0
selected_by_percent,7.4
total_points,49
ppg,2.0
minutes,2150
goals_scored,0
assists,1
clean_sheets,3
goals_conceded,37
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,3
bps,365
influence,616.0
creativity,108.8
threat,91.0
ict_index,81.9
ea_index,0
position,Defender
