,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,6,4.5,220212,0,0,0,90,0,0,1,0,0,0,0,0,1,0,21,10.0,0.0,0.0,1.0,0,0,0,0,3,0,0,0,15,10,0,0,0,0,0,0,0,0,2,Cardiff
2,18 Aug 15:00,1,2,False,3,4.5,250753,12926,9774,3152,90,0,0,0,1,0,0,0,0,4,0,16,25.6,0.0,0.0,2.6,0,0,0,0,6,0,0,0,21,9,0,0,0,0,0,0,0,0,20,West Ham
3,25 Aug 15:00,2,2,True,1,4.5,260020,20007,19154,853,90,0,0,0,2,0,0,0,0,1,0,4,0.0,0.0,0.0,0.0,0,0,0,1,7,0,0,0,27,21,0,0,2,0,0,0,0,0,22,Everton
4,01 Sep 15:00,2,0,False,2,4.5,255193,8282,16422,-8140,90,0,0,0,2,0,0,0,0,4,0,18,35.6,0.0,0.0,3.6,0,0,0,2,11,0,0,0,20,9,0,0,0,0,0,0,0,0,34,Chelsea
5,15 Sep 15:00,4,2,True,2,4.5,261224,19472,17731,1741,90,0,0,0,2,0,0,0,0,5,0,20,38.8,0.0,0.0,3.9,0,0,0,0,13,0,0,0,26,15,0,0,0,0,0,0,0,0,41,Leicester
6,22 Sep 15:00,4,0,False,0,4.5,266485,13190,10127,3063,90,0,0,0,4,0,0,0,0,1,0,10,7.0,0.0,0.0,0.7,0,0,0,1,8,0,0,0,20,12,0,0,0,0,0,0,0,0,53,Burnley
7,01 Oct 20:00,2,1,True,2,4.5,257515,2003,10877,-8874,90,0,0,0,1,0,0,0,0,1,0,10,6.8,0.0,0.0,0.7,0,0,0,0,7,0,0,0,24,15,0,0,0,0,0,0,0,0,62,Crystal Palace
8,06 Oct 15:00,0,4,False,6,4.5,249791,1168,9136,-7968,90,0,0,1,0,0,0,0,0,2,0,25,14.6,0.0,0.0,1.5,0,0,0,1,9,0,0,0,21,14,0,0,0,0,0,0,0,0,80,Watford
9,20 Oct 15:00,0,0,True,9,4.5,255762,10335,7676,2659,90,0,0,1,0,0,0,0,0,4,2,29,21.0,0.0,0.0,2.1,0,0,0,0,14,0,0,0,27,21,0,0,0,0,0,0,0,0,82,Southampton
10,27 Oct 15:00,0,3,False,6,4.5,256493,5945,5482,463,90,0,0,1,0,0,0,0,0,1,0,22,6.2,0.0,0.0,0.6,0,0,0,0,8,0,0,0,16,12,0,0,0,0,0,0,0,0,94,Fulham
