,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 16:00,0.0,2.0,1.0,1.0,5.5,727046.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0,11.7,23.0,6.2,0.0,0.0,0.0,9.0,7.0,1.0,2.0,0.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Man City
2,18 Aug 17:30,3.0,2.0,0.0,1.0,5.5,708875.0,12676.0,75614.0,-62938.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.2,16.8,4.0,3.8,0.0,1.0,1.0,5.0,5.0,1.0,1.0,0.0,46.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,Chelsea
3,25 Aug 15:00,3.0,1.0,1.0,5.0,5.5,654173.0,35884.0,105478.0,-69594.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.6,22.3,6.0,5.7,0.0,1.0,1.0,6.0,4.0,1.0,1.0,0.0,49.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,21.0,West Ham
4,02 Sep 13:30,2.0,3.0,0.0,0.0,5.5,671467.0,43942.0,43144.0,798.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,5.1,9.0,1.9,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,46.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,33.0,Cardiff
5,15 Sep 15:00,1.0,2.0,0.0,2.0,5.4,609539.0,16982.0,82102.0,-65120.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.2,10.8,8.0,3.4,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,43.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,46.0,Newcastle
6,23 Sep 16:00,2.0,0.0,1.0,6.0,5.4,581867.0,10657.0,42701.0,-32044.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0,6.8,27.0,4.8,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,36.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,51.0,Everton
7,29 Sep 15:00,2.0,0.0,1.0,8.0,5.4,583056.0,17381.0,21333.0,-3952.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,12.4,7.7,4.0,2.4,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,41.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61.0,Watford
8,07 Oct 12:00,1.0,5.0,0.0,5.0,5.4,593737.0,20408.0,13510.0,6898.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.4,19.8,19.0,7.4,0.0,2.0,0.0,3.0,5.0,1.0,2.0,0.0,32.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,74.0,Fulham
9,22 Oct 20:00,3.0,1.0,1.0,7.0,5.4,615756.0,35891.0,20569.0,15322.0,90.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0,32.6,25.6,16.0,7.4,0.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,67.0,56.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,81.0,Leicester
10,28 Oct 13:30,2.0,2.0,0.0,1.0,5.4,687481.0,72289.0,11722.0,60567.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.4,2.6,22.0,3.4,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,40.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,93.0,Crystal Palace
