entry,value
player_id,427
web_name,Bennett
team,West Brom
first_name,Ryan
second_name,Bennett
cost_end,4.1
value_form,0.6
value_season,21.7
cost_change_start,1
cost_start,3.0999999999999996
dreamteam_count,0
selected_by_percent,8.0
total_points,89
ppg,2.6
minutes,3060
goals_scored,1
assists,0
clean_sheets,9
goals_conceded,38
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,12
red_cards,0
saves,0
bonus,1
bps,467
influence,566.4
creativity,129.7
threat,172.0
ict_index,86.9
ea_index,0
position,Defender
