entry,value
player_id,152
web_name,Benteke
team,Everton
first_name,Christian
second_name,Benteke
cost_end,6.3
value_form,0.1
value_season,5.2
cost_change_start,-2
cost_start,8.3
dreamteam_count,0
selected_by_percent,0.5
total_points,33
ppg,2.1
minutes,807
goals_scored,1
assists,1
clean_sheets,3
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,3
bps,65
influence,106.0
creativity,118.4
threat,348.0
ict_index,56.1
ea_index,0
position,Forward
