entry,value
player_id,276
web_name,Bernardo Silva
team,Man City
first_name,Bernardo Mota
second_name,Veiga de Carvalho e Silva
cost_end,7.8
value_form,0.6
value_season,19.7
cost_change_start,0.3
cost_start,7.5
dreamteam_count,3
selected_by_percent,13.6
total_points,154
ppg,4.3
minutes,2849
goals_scored,7
assists,8
clean_sheets,15
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,17
bps,649
influence,796.4
creativity,1026.3
threat,1069.0
ict_index,289.6
ea_index,0
position,Midfielder
