entry,value
player_id,440
web_name,Bernardo
team,Brighton
first_name,Bernardo
second_name,Fernandes da Silva Junior
cost_end,4.2
value_form,0.3
value_season,9.3
cost_change_start,-0.3
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.1
total_points,39
ppg,1.8
minutes,1749
goals_scored,0
assists,1
clean_sheets,2
goals_conceded,29
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,0
bps,290
influence,444.2
creativity,172.6
threat,83.0
ict_index,70.0
ea_index,0
position,Defender
