,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0.0,2.0,1.0,0.0,4.5,14241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Crystal Palace
2,18 Aug 15:00,3.0,1.0,0.0,0.0,4.5,13315.0,75.0,1731.0,-1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Spurs
3,26 Aug 16:00,4.0,2.0,1.0,0.0,4.5,11888.0,66.0,1669.0,-1603.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.2,0.0,0.0,0.4,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,37.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Burnley
4,01 Sep 15:00,2.0,2.0,0.0,7.0,4.4,11601.0,471.0,1005.0,-534.0,90.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,29.0,46.8,0.0,0.0,4.7,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,Brighton
5,15 Sep 15:00,3.0,0.0,0.0,3.0,4.4,21240.0,10594.0,3995.0,6599.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,19.0,47.2,0.0,0.0,4.7,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,33.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Man City
6,22 Sep 12:30,1.0,1.0,1.0,3.0,4.4,29818.0,9964.0,2661.0,7303.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,19.0,39.4,0.0,0.0,3.9,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,29.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,Watford
7,29 Sep 15:00,3.0,0.0,0.0,2.0,4.4,34456.0,5803.0,1956.0,3847.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,20.4,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,Everton
8,07 Oct 12:00,1.0,5.0,1.0,0.0,4.4,35530.0,2850.0,1788.0,1062.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,21.0,0.0,0.0,2.1,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,Arsenal
9,20 Oct 15:00,4.0,2.0,0.0,0.0,4.4,37422.0,3666.0,2222.0,1444.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,16.0,0.0,0.0,1.6,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,33.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,Cardiff
10,27 Oct 15:00,0.0,3.0,1.0,0.0,4.4,36277.0,982.0,2041.0,-1059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,Bournemouth
11,05 Nov 20:00,1.0,0.0,0.0,0.0,4.4,34213.0,571.0,2704.0,-2133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,Huddersfield
12,11 Nov 12:00,2.0,0.0,0.0,0.0,4.4,32451.0,272.0,2118.0,-1846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,Liverpool
