,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 13:30,6.0,1.0,0.0,1.0,4.5,8239.0,1509.0,966.0,543.0,90.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,19.6,2.1,18.0,4.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,18.0,Man City
2,25 Aug 15:00,0.0,0.0,1.0,3.0,4.5,10197.0,3026.0,1728.0,1298.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.8,3.8,2.0,2.8,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,48.0,37.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,24.0,Cardiff
3,01 Sep 15:00,1.0,1.0,0.0,9.0,4.5,17461.0,8726.0,3256.0,5470.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,37.0,58.0,12.7,25.0,9.6,0.0,2.0,0.0,8.0,11.0,0.0,3.0,0.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,36.0,Everton
4,15 Sep 15:00,0.0,1.0,1.0,2.0,4.5,143835.0,138693.0,30743.0,107950.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,29.8,14.0,6.4,0.0,1.0,0.0,3.0,9.0,2.0,0.0,0.0,68.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,44.0,Crystal Palace
5,22 Sep 15:00,3.0,1.0,0.0,2.0,4.5,158719.0,38726.0,20159.0,18567.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.4,18.3,0.0,3.3,0.0,1.0,0.0,7.0,10.0,1.0,2.0,0.0,43.0,37.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,57.0,Leicester
6,29 Sep 15:00,0.0,2.0,1.0,1.0,4.5,151992.0,8412.0,14297.0,-5885.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,17.4,6.0,17.0,4.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,42.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,66.0,Spurs
7,06 Oct 15:00,1.0,1.0,0.0,2.0,4.5,152279.0,8629.0,9260.0,-631.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,18.7,29.0,6.2,0.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,65.0,58.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,72.0,Burnley
8,20 Oct 17:30,0.0,1.0,1.0,2.0,4.5,141899.0,6522.0,16600.0,-10078.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.1,13.0,2.1,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,29.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,86.0,Liverpool
9,27 Oct 15:00,3.0,0.0,0.0,1.0,4.5,138816.0,4698.0,8445.0,-3747.0,77.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,20.6,16.4,9.0,4.6,0.0,1.0,0.0,4.0,4.0,1.0,2.0,0.0,46.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,100.0,Watford
10,05 Nov 20:00,1.0,0.0,1.0,3.0,4.5,133437.0,5514.0,11420.0,-5906.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.6,11.1,3.0,2.4,0.0,0.0,0.0,4.0,6.0,1.0,3.0,0.0,28.0,20.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,106.0,Fulham
11,10 Nov 15:00,1.0,1.0,1.0,2.0,4.5,128797.0,2845.0,7789.0,-4944.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.4,14.4,11.0,3.1,0.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,34.0,30.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,115.0,West Ham
12,25 Nov 16:00,0.0,2.0,0.0,3.0,4.5,126665.0,5107.0,7610.0,-2503.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.8,26.1,4.0,5.7,0.0,0.0,0.0,7.0,14.0,2.0,0.0,0.0,52.0,42.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,130.0,Wolves
13,01 Dec 15:00,1.0,2.0,1.0,2.0,4.5,132700.0,9268.0,4236.0,5032.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.2,22.2,0.0,3.6,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,135.0,Brighton
14,04 Dec 19:45,2.0,1.0,0.0,1.0,4.5,136909.0,10760.0,6629.0,4131.0,74.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,25.2,38.8,26.0,9.0,0.0,1.0,0.0,3.0,7.0,3.0,2.0,0.0,50.0,40.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,141.0,Bournemouth
15,08 Dec 15:00,1.0,0.0,0.0,0.0,4.5,117869.0,961.0,18080.0,-17119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,Arsenal
16,15 Dec 15:00,0.0,1.0,1.0,2.0,4.5,115373.0,4629.0,9342.0,-4713.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,16.7,14.0,5.2,0.0,0.0,0.0,4.0,10.0,1.0,1.0,0.0,67.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,164.0,Newcastle
17,22 Dec 15:00,1.0,3.0,1.0,8.0,4.5,113225.0,3642.0,6004.0,-2362.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,54.6,32.8,30.0,11.7,0.0,0.0,0.0,6.0,8.0,3.0,0.0,0.0,58.0,40.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,176.0,Southampton
18,26 Dec 15:00,3.0,1.0,0.0,2.0,4.5,118212.0,9903.0,5546.0,4357.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.2,12.8,7.0,4.4,0.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,42.0,33.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,187.0,Man Utd
19,29 Dec 15:00,1.0,0.0,0.0,2.0,4.5,122280.0,10091.0,6396.0,3695.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.5,15.0,2.8,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,41.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,194.0,Fulham
20,02 Jan 19:45,1.0,2.0,1.0,2.0,4.5,122649.0,9838.0,9677.0,161.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,2.9,22.0,4.2,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,43.0,31.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,206.0,Burnley
21,12 Jan 15:00,0.0,0.0,0.0,3.0,4.5,119383.0,7302.0,10835.0,-3533.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.6,17.1,18.0,5.9,0.0,1.0,0.0,6.0,5.0,1.0,0.0,0.0,57.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,213.0,Cardiff
