entry,value
player_id,438
web_name,Bonatini
team,Wolves
first_name,Bonatini Lohner Maia
second_name,Bonatini
cost_end,4.6
value_form,0.0
value_season,2.2
cost_change_start,-0.4
cost_start,5.0
dreamteam_count,0
selected_by_percent,0.3
total_points,10
ppg,1.4
minutes,130
goals_scored,0
assists,1
clean_sheets,0
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,19
influence,24.6
creativity,30.9
threat,90.0
ict_index,13.6
ea_index,0
position,Forward
