,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,False,1,4.5,8038,0,0,0,64,0,0,0,2,0,0,0,0,0,0,10,6.2,0.6,0.0,0.7,0,0,0,1,8,0,1,0,25,21,0,0,0,0,0,0,0,0,9,Watford
2,19 Aug 16:00,3,2,True,1,4.5,8613,137,629,-492,90,0,0,0,2,0,0,0,0,0,0,11,6.6,0.8,0.0,0.7,0,0,0,3,8,0,1,0,21,12,0,0,0,0,0,0,0,0,11,Man Utd
3,25 Aug 17:30,1,0,False,2,4.5,8857,489,727,-238,90,0,0,0,1,0,0,0,0,0,0,17,16.0,5.4,0.0,2.1,0,1,0,3,4,0,3,0,31,22,0,0,0,0,0,0,0,0,25,Liverpool
4,01 Sep 15:00,2,2,True,1,4.5,9890,1173,704,469,90,0,0,0,2,0,0,0,0,0,0,11,14.2,1.5,0.0,1.6,0,0,0,5,6,0,0,0,39,28,0,0,0,1,0,0,0,0,31,Fulham
5,17 Sep 20:00,2,2,False,1,4.5,9494,259,821,-562,90,0,0,0,2,0,0,0,0,0,0,8,5.4,16.8,0.0,2.2,0,1,0,3,3,1,0,0,41,36,1,0,0,1,0,0,2,0,47,Southampton
6,22 Sep 17:30,1,2,True,1,4.5,9242,174,533,-359,90,0,0,0,2,0,0,0,0,0,0,3,8.0,0.3,0.0,0.8,0,0,0,3,5,0,0,0,17,12,0,0,0,3,0,0,2,0,52,Spurs
7,29 Sep 15:00,2,0,False,1,4.5,9051,126,413,-287,90,0,0,0,2,0,0,0,0,0,0,12,15.2,14.2,0.0,2.9,0,1,0,7,4,1,0,0,9,7,0,0,0,1,0,0,0,1,67,Man City
8,05 Oct 20:00,1,0,True,6,4.5,9015,202,328,-126,90,0,0,1,0,0,0,0,0,0,0,24,10.0,1.3,0.0,1.1,0,0,0,6,7,0,0,0,34,23,0,0,0,0,0,0,0,1,71,West Ham
9,20 Oct 15:00,0,1,False,6,4.5,8860,370,627,-257,90,0,0,1,0,0,0,0,0,0,0,14,0.2,1.8,0.0,0.2,0,0,0,2,4,0,1,0,20,15,0,0,0,6,0,0,0,0,88,Newcastle
10,27 Oct 15:00,1,0,True,6,4.5,9425,656,237,419,90,0,0,1,0,0,0,0,0,0,0,26,19.4,4.6,0.0,2.4,0,1,0,5,4,0,1,0,27,20,0,0,0,1,0,0,0,3,91,Wolves
11,03 Nov 15:00,3,1,False,1,4.5,10665,1457,467,990,90,0,0,0,3,0,0,0,0,0,0,8,7.8,0.8,0.0,0.9,0,0,0,4,7,0,0,0,26,21,0,0,0,1,0,0,1,0,105,Everton
12,10 Nov 12:30,2,1,False,1,4.5,11136,779,421,358,90,0,0,0,2,0,0,0,0,0,0,11,14.2,10.8,0.0,2.5,0,0,0,2,9,1,1,0,32,19,0,0,0,1,0,0,1,0,112,Cardiff
13,24 Nov 15:00,1,1,True,0,4.5,11257,572,547,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,Leicester
14,01 Dec 15:00,1,2,False,0,4.5,10973,135,441,-306,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,Huddersfield
15,04 Dec 19:45,3,1,True,0,4.5,10545,86,538,-452,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,Crystal Palace
16,08 Dec 15:00,1,0,False,0,4.5,10183,109,496,-387,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,Burnley
17,16 Dec 13:30,1,2,True,0,4.5,9736,78,572,-494,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,Chelsea
18,22 Dec 15:00,2,0,False,1,4.5,9524,78,354,-276,14,0,0,0,1,0,0,0,0,0,0,3,5.4,0.0,0.0,0.5,0,0,0,1,2,0,0,0,7,3,0,0,0,0,0,0,0,0,172,Bournemouth
19,26 Dec 17:15,1,1,True,0,4.4,9352,59,262,-203,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,Arsenal
20,29 Dec 15:00,1,0,True,0,4.4,9105,49,323,-274,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,Everton
21,02 Jan 19:45,2,2,False,1,4.4,8948,59,230,-171,17,0,0,0,0,0,0,0,0,0,0,4,4.0,1.0,0.0,0.5,0,0,0,2,1,0,0,0,14,9,0,0,0,0,0,0,0,0,209,West Ham
22,12 Jan 15:00,0,1,True,2,4.4,8707,52,311,-259,90,0,0,0,1,0,0,0,0,0,0,8,11.8,39.2,2.0,5.3,0,1,0,1,5,3,0,0,20,15,0,0,0,2,0,0,1,0,211,Liverpool
23,19 Jan 15:00,2,1,False,1,4.4,8650,144,230,-86,90,0,0,0,2,0,0,0,0,0,0,2,6.0,1.9,0.0,0.8,0,0,0,5,1,0,0,0,25,21,1,0,0,1,0,0,2,0,226,Man Utd
24,29 Jan 19:45,4,2,False,0,4.4,8880,351,212,139,90,0,0,0,4,0,0,0,0,0,0,9,12.0,1.8,0.0,1.4,0,0,0,4,8,0,0,0,29,21,0,0,0,2,0,0,0,1,233,Fulham
25,02 Feb 15:00,0,0,True,6,4.4,8889,156,167,-11,90,0,0,1,0,0,0,0,0,0,0,22,11.0,16.2,3.0,3.0,0,1,0,2,11,1,0,0,45,37,0,0,0,4,0,1,1,0,241,Watford
26,09 Feb 17:30,1,3,True,1,4.4,9200,447,190,257,90,0,0,0,3,0,0,0,0,0,0,16,17.8,30.3,2.0,5.0,0,2,0,6,3,2,0,0,46,33,0,0,0,2,0,0,0,2,251,Burnley
27,26 Feb 19:45,2,1,False,1,4.4,9177,257,107,150,90,0,0,0,2,0,0,0,0,0,0,7,10.2,1.8,1.0,1.3,0,0,0,3,4,0,0,0,38,30,0,0,0,2,0,1,0,0,275,Leicester
28,02 Mar 15:00,1,0,True,0,4.4,9423,399,189,210,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,Huddersfield
29,09 Mar 12:30,1,2,False,0,4.4,9126,42,331,-289,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,Crystal Palace
30,30 Mar 15:00,0,1,True,0,4.4,8943,128,143,-15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,Southampton
31,03 Apr 19:45,3,0,False,1,4.4,8943,128,143,-15,90,0,0,0,3,0,0,0,0,0,0,9,10.0,0.6,0.0,1.1,0,0,0,3,3,0,1,0,29,20,0,0,0,0,0,0,1,0,265,Chelsea
32,13 Apr 15:00,0,5,True,0,4.4,9136,420,154,266,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,Bournemouth
33,16 Apr 19:45,0,2,True,0,4.4,9136,420,154,266,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,Cardiff
34,20 Apr 15:00,0,0,False,6,4.4,8909,43,272,-229,90,0,0,1,0,0,0,0,0,0,0,19,8.6,1.6,0.0,1.0,0,0,0,3,6,0,0,0,29,20,0,0,0,2,0,0,0,0,350,Wolves
35,23 Apr 19:45,1,0,False,0,4.4,8909,43,272,-229,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,Spurs
36,27 Apr 17:30,1,1,True,0,4.4,8920,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,Newcastle
37,05 May 16:30,1,1,False,0,4.4,8794,21,143,-122,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,Arsenal
38,12 May 15:00,1,4,True,0,4.4,8751,93,133,-40,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,Man City
