,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2.0,0.0,1.0,0.0,4.0,340702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Cardiff
2,18 Aug 15:00,1.0,2.0,0.0,0.0,4.0,367268.0,6126.0,12961.0,-6835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,West Ham
3,25 Aug 15:00,2.0,2.0,1.0,0.0,4.0,363260.0,7509.0,20806.0,-13297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Everton
4,01 Sep 15:00,2.0,0.0,0.0,0.0,4.0,370070.0,11726.0,14274.0,-2548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,Chelsea
5,15 Sep 15:00,4.0,2.0,1.0,0.0,4.0,372101.0,12944.0,17451.0,-4507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,Leicester
6,22 Sep 15:00,4.0,0.0,0.0,0.0,4.0,368789.0,5087.0,10746.0,-5659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,Burnley
7,01 Oct 20:00,2.0,1.0,1.0,0.0,4.0,367144.0,3391.0,7582.0,-4191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,Crystal Palace
8,06 Oct 15:00,0.0,4.0,0.0,0.0,4.0,365709.0,3438.0,6960.0,-3522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,Watford
9,20 Oct 15:00,0.0,0.0,1.0,0.0,4.0,363219.0,4153.0,8807.0,-4654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,Southampton
10,27 Oct 15:00,0.0,3.0,0.0,0.0,4.0,362089.0,2754.0,5295.0,-2541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,Fulham
11,03 Nov 12:30,1.0,2.0,1.0,0.0,4.0,360484.0,3000.0,6202.0,-3202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,Man Utd
12,10 Nov 15:00,2.0,1.0,0.0,0.0,4.0,360064.0,2898.0,4808.0,-1910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,Newcastle
13,25 Nov 13:30,1.0,2.0,1.0,0.0,4.0,360889.0,3289.0,4608.0,-1319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Arsenal
14,01 Dec 15:00,3.0,1.0,0.0,0.0,4.0,360932.0,2030.0,2404.0,-374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,Man City
15,04 Dec 19:45,2.0,1.0,1.0,0.0,4.0,360749.0,2208.0,3206.0,-998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,Huddersfield
16,08 Dec 12:30,0.0,4.0,1.0,0.0,4.0,360048.0,2050.0,4018.0,-1968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,Liverpool
17,15 Dec 15:00,2.0,0.0,0.0,0.0,4.0,360858.0,2809.0,3352.0,-543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,Wolves
18,22 Dec 15:00,2.0,0.0,1.0,0.0,4.0,361391.0,2461.0,3156.0,-695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,Brighton
19,26 Dec 15:00,5.0,0.0,0.0,0.0,4.0,362282.0,3072.0,3751.0,-679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,Spurs
20,30 Dec 16:30,4.0,1.0,0.0,0.0,4.0,358778.0,1479.0,4784.0,-3305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,Man Utd
21,02 Jan 19:45,3.0,3.0,1.0,0.0,4.0,352363.0,1091.0,7826.0,-6735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,Watford
22,13 Jan 14:15,2.0,0.0,0.0,0.0,4.0,344813.0,1176.0,9340.0,-8164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,Everton
23,19 Jan 15:00,2.0,0.0,1.0,6.0,4.0,335884.0,960.0,10176.0,-9216.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,6.8,0.0,0.0,0.7,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,West Ham
24,30 Jan 19:45,4.0,0.0,1.0,10.0,3.9,347500.0,13524.0,4194.0,9330.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,36.0,46.6,0.0,0.0,4.7,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,Chelsea
25,02 Feb 17:30,2.0,0.0,0.0,2.0,3.9,424529.0,57008.0,2423.0,54585.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,26.8,0.0,0.0,2.7,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,Cardiff
26,09 Feb 15:00,3.0,0.0,0.0,3.0,3.9,454033.0,49779.0,5357.0,44422.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,20.0,38.8,0.0,0.0,3.9,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,Liverpool
27,23 Feb 15:00,1.0,1.0,1.0,1.0,4.0,508142.0,46501.0,5699.0,40802.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,9.4,0.0,0.0,0.9,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,Wolves
28,27 Feb 19:45,5.0,1.0,0.0,0.0,4.0,513063.0,20171.0,3568.0,16603.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,17.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,Arsenal
29,02 Mar 15:00,0.0,1.0,1.0,6.0,4.0,525073.0,16165.0,4345.0,11820.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,24.0,55.8,0.0,0.0,5.6,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,Man City
30,09 Mar 15:00,0.0,2.0,0.0,6.0,4.0,564817.0,41062.0,2881.0,38181.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,8.2,0.0,0.0,0.8,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,Huddersfield
31,16 Mar 15:00,2.0,2.0,1.0,2.0,4.1,649177.0,36016.0,5136.0,30880.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,16.6,0.0,0.0,1.7,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,Newcastle
32,30 Mar 15:00,2.0,0.0,0.0,0.0,4.1,584868.0,23215.0,12923.0,10292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,Leicester
33,06 Apr 15:00,1.0,3.0,1.0,0.0,4.1,594693.0,5913.0,14085.0,-8172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,Burnley
34,13 Apr 15:00,0.0,5.0,0.0,5.0,4.1,556661.0,1889.0,41729.0,-39840.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.0,9.4,0.0,0.0,0.9,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,Brighton
35,20 Apr 15:00,0.0,1.0,1.0,3.0,4.1,551056.0,8197.0,12468.0,-4271.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,34.8,0.0,0.0,3.5,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,Fulham
