,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,2,5.0,14003,0,0,0,90,0,0,1,0,0,0,1,0,0,0,8,9.8,2.9,9.0,2.2,0,0,0,4,7,0,2,0,56,41,0,0,0,1,0,2,4,2,9,Brighton
2,19 Aug 13:30,1,3,False,2,5.0,14167,717,1749,-1032,90,0,0,0,1,0,0,0,0,0,0,10,9.4,1.3,0.0,1.1,0,0,0,3,12,0,0,0,38,29,0,0,0,1,0,0,2,0,12,Burnley
3,26 Aug 13:30,2,1,True,6,5.0,13446,1045,2118,-1073,90,0,1,0,1,0,0,1,0,0,2,21,32.4,11.3,4.0,4.8,0,0,0,3,5,1,2,0,29,23,0,0,0,0,0,0,1,3,29,Crystal Palace
4,02 Sep 16:00,2,1,True,1,5.0,20760,8403,2836,5567,90,0,0,0,1,0,0,1,0,0,0,12,21.4,0.8,0.0,2.2,0,0,0,9,6,0,3,0,29,20,0,0,0,2,0,0,1,0,39,Spurs
5,15 Sep 17:30,1,2,True,1,5.0,22435,4281,2920,1361,90,0,0,0,2,0,0,1,0,0,0,9,21.6,3.7,0.0,2.5,0,0,0,5,8,0,0,0,64,56,0,0,0,0,0,0,2,0,49,Man Utd
6,22 Sep 12:30,1,1,False,5,5.0,22669,2724,2672,52,90,0,0,0,1,0,0,0,0,0,3,24,25.6,2.2,2.0,3.0,0,0,0,11,15,0,1,0,45,41,0,0,0,0,0,0,0,0,56,Fulham
7,29 Sep 15:00,2,0,False,2,5.0,23182,2197,1896,301,90,0,0,0,2,0,0,0,0,0,0,12,14.0,2.5,2.0,1.9,0,0,0,9,10,0,0,0,34,27,0,0,0,1,0,1,1,0,61,Arsenal
8,06 Oct 15:00,0,4,True,2,5.0,24029,2058,1454,604,90,0,0,0,4,0,0,0,0,0,0,15,15.2,2.0,44.0,6.1,0,0,0,5,9,0,0,0,37,31,0,0,0,1,0,0,0,1,80,Bournemouth
9,20 Oct 15:00,0,2,False,11,5.0,23902,2117,2345,-228,90,1,0,1,0,0,0,0,0,0,3,37,52.2,6.8,7.0,6.6,0,0,0,3,8,0,3,1,87,79,0,0,0,2,0,0,3,0,90,Wolves
10,27 Oct 15:00,3,0,True,6,5.0,90230,65674,4686,60988,90,0,1,1,0,0,0,0,0,0,0,20,26.6,14.4,0.0,4.1,0,0,0,1,6,1,0,0,57,49,0,0,0,2,0,0,1,1,100,Huddersfield
11,03 Nov 15:00,1,0,False,1,5.1,138910,58434,9158,49276,90,0,0,0,1,0,0,1,0,0,0,14,11.2,15.9,7.0,3.4,0,0,1,5,7,1,1,0,70,63,0,0,0,1,0,2,2,0,108,Newcastle
12,10 Nov 15:00,1,1,False,0,5.1,90812,4369,49132,-44763,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,Southampton
13,24 Nov 15:00,0,3,True,2,5.1,82978,2945,11960,-9015,90,0,0,0,3,0,0,0,0,0,0,14,11.6,1.4,1.0,1.4,0,0,0,5,7,0,3,0,44,28,0,0,0,0,0,1,1,0,128,Liverpool
14,01 Dec 15:00,2,0,False,-1,5.1,81939,3313,5145,-1832,89,0,0,0,2,0,0,0,1,0,0,6,19.6,4.5,4.0,2.8,0,0,0,9,9,0,0,0,85,74,0,0,0,1,0,0,2,1,136,Leicester
15,04 Dec 20:00,1,2,True,0,5.0,57900,448,23729,-23281,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,Man City
16,10 Dec 20:00,2,2,False,0,5.0,44987,36,13132,-13096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,Everton
17,15 Dec 15:00,3,2,True,0,4.9,36010,46,9539,-9493,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,Cardiff
18,22 Dec 15:00,0,2,False,3,4.9,34763,570,2280,-1710,90,0,0,1,0,0,0,0,0,0,0,23,30.4,13.1,0.0,4.4,0,0,0,12,11,1,2,0,46,40,0,0,0,0,0,0,1,0,179,West Ham
19,26 Dec 19:30,1,2,True,2,4.9,33742,702,1776,-1074,90,0,0,0,2,0,0,0,0,0,0,16,14.6,5.2,0.0,2.0,0,0,0,6,6,0,0,0,58,50,0,0,0,0,0,0,1,2,190,Chelsea
20,29 Dec 15:00,1,1,True,2,4.9,33346,1305,1820,-515,90,0,0,0,1,0,0,0,0,0,0,16,25.6,3.8,0.0,2.9,0,0,0,8,5,0,1,0,85,74,0,0,0,1,0,0,2,2,200,Newcastle
21,02 Jan 19:45,3,3,False,1,4.9,31982,547,1929,-1382,90,0,0,0,3,0,0,1,0,0,0,11,11.2,13.9,0.0,2.5,0,0,0,5,5,1,2,0,37,32,0,0,0,1,0,0,4,1,202,Bournemouth
22,12 Jan 15:00,1,2,False,2,4.9,30505,897,2435,-1538,90,0,0,0,1,0,0,0,0,0,0,8,10.2,11.3,16.0,3.8,0,0,0,5,2,1,1,0,38,30,0,0,0,3,0,0,2,0,215,Crystal Palace
23,19 Jan 15:00,0,0,True,3,4.9,29290,1101,2361,-1260,90,0,0,1,0,0,0,0,0,0,0,22,25.2,5.8,0.0,3.1,0,0,0,8,7,0,2,0,50,41,0,0,0,1,0,0,0,3,229,Burnley
24,30 Jan 20:00,2,1,False,1,4.8,28571,665,1460,-795,90,0,0,0,2,0,0,1,0,0,0,11,23.2,2.8,0.0,2.6,0,0,0,8,8,0,2,0,24,19,0,0,0,1,0,0,2,1,240,Spurs
25,02 Feb 15:00,0,0,False,3,4.8,28164,589,979,-390,90,0,0,1,0,0,0,0,0,0,0,12,19.2,16.1,0.0,3.5,0,0,0,3,8,1,0,0,72,64,0,0,0,1,0,0,1,0,241,Brighton
26,09 Feb 15:00,1,0,True,3,4.8,28549,1234,1005,229,90,0,0,1,0,0,0,0,0,0,0,4,16.2,2.2,33.0,5.1,0,0,0,8,5,0,0,0,25,18,0,1,0,1,0,0,3,0,259,Everton
27,22 Feb 19:45,1,5,False,5,4.8,29748,1802,892,910,78,0,1,1,0,0,0,1,0,0,0,25,38.4,27.7,0.0,6.6,0,0,1,9,9,2,0,0,73,61,0,0,0,2,0,0,2,1,264,Cardiff
28,27 Feb 20:00,5,0,False,2,4.8,30104,1224,701,523,90,0,0,0,5,0,0,0,0,0,0,12,16.0,2.0,0.0,1.8,0,0,0,5,3,0,0,0,39,34,0,0,0,1,0,0,0,0,277,Liverpool
29,03 Mar 12:00,2,1,True,1,4.8,30259,995,874,121,90,0,0,0,1,0,0,1,0,0,0,10,21.4,3.8,0.0,2.5,0,0,0,7,4,0,2,0,62,49,0,0,0,1,0,0,3,1,288,Leicester
30,09 Mar 17:30,3,1,False,2,4.8,29883,755,1148,-393,90,0,0,0,3,0,0,0,0,0,0,23,23.0,1.0,0.0,2.4,0,0,0,8,8,0,2,0,39,35,0,0,0,0,0,0,0,3,298,Man City
31,30 Mar 15:00,2,1,False,2,4.8,31793,2527,1043,1484,90,0,0,0,2,0,0,0,0,0,0,15,5.4,11.7,4.0,2.1,0,0,0,2,10,1,1,0,47,38,0,0,0,0,0,2,0,0,319,Man Utd
32,02 Apr 19:45,4,1,True,2,4.8,31793,2527,1043,1484,77,0,0,0,1,0,0,0,0,0,0,19,12.2,3.3,0.0,1.6,0,0,0,2,5,0,3,0,54,50,0,0,0,2,0,0,0,1,329,Fulham
33,15 Apr 20:00,0,1,True,1,4.8,29500,942,1190,-248,90,0,0,0,1,0,0,1,0,0,0,11,13.6,2.8,7.0,2.3,0,0,0,2,12,0,0,0,55,46,0,0,0,1,0,0,1,1,340,Arsenal
34,20 Apr 15:00,1,2,False,1,4.8,32548,3733,980,2753,90,0,0,0,1,0,0,1,0,0,0,15,17.4,2.1,4.0,2.4,0,0,0,6,10,0,3,0,55,44,0,0,0,1,0,2,1,0,346,Huddersfield
35,23 Apr 19:45,1,1,True,1,4.8,32548,3733,980,2753,90,0,0,0,1,0,0,1,0,0,0,17,18.2,9.2,2.0,2.9,0,0,0,4,12,0,2,0,90,80,0,0,0,1,0,0,1,2,308,Southampton
36,27 Apr 15:00,1,2,True,1,4.8,31507,394,1146,-752,90,0,0,0,2,0,0,1,0,0,0,14,31.6,6.8,4.0,4.2,0,1,0,9,7,0,0,0,63,56,0,0,0,1,0,0,2,3,360,Wolves
37,05 May 14:00,3,0,False,0,4.8,30337,221,1385,-1164,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,Chelsea
38,12 May 15:00,1,4,True,1,4.8,29057,367,1580,-1213,90,0,0,0,4,0,0,1,0,0,0,10,13.0,4.9,2.0,2.0,0,0,0,2,9,0,0,0,59,49,0,0,0,0,0,0,1,0,380,West Ham
