,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,4,0,False,0,4.5,15025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Liverpool
2,18 Aug 15:00,1,2,True,1,4.5,18248,1179,2142,-963,13,0,0,0,0,0,0,0,0,0,0,3,1.6,0.5,8.0,1.0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,20,Bournemouth
3,25 Aug 15:00,3,1,False,2,4.5,17679,1113,2362,-1249,90,0,0,0,3,0,0,0,0,0,0,15,8.8,11.3,8.0,2.8,0,0,0,0,6,1,3,0,39,34,0,0,0,3,0,0,2,1,21,Arsenal
4,01 Sep 15:00,0,1,True,2,4.5,18878,2328,1939,389,90,0,0,0,1,0,0,0,0,0,0,12,5.4,15.3,0.0,2.1,0,0,0,0,5,1,0,0,55,51,0,0,1,1,0,0,0,2,40,Wolves
5,16 Sep 16:00,1,3,False,1,4.5,18433,1061,1736,-675,19,0,0,0,0,0,0,0,0,0,0,4,3.4,0.5,8.0,1.2,0,0,0,1,1,0,1,0,7,4,0,0,0,0,0,0,1,0,43,Everton
6,23 Sep 13:30,0,0,True,1,4.5,17597,383,1371,-988,5,0,0,0,0,0,0,0,0,0,0,3,1.0,0.1,0.0,0.1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,60,Chelsea
7,29 Sep 12:30,3,1,True,0,4.5,16299,141,1467,-1326,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,Man Utd
8,05 Oct 20:00,1,0,False,0,4.5,14996,53,1382,-1329,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,Brighton
9,20 Oct 15:00,0,1,True,0,4.5,13466,34,1577,-1543,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,Spurs
10,27 Oct 17:30,1,1,False,0,4.4,12774,39,792,-753,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,Leicester
