entry,value
player_id,518
web_name,Carlos Sánchez
team,West Ham
first_name,Carlos
second_name,Sánchez
cost_end,4.3
value_form,0.2
value_season,2.1
cost_change_start,-0.2
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.1
total_points,9
ppg,1.3
minutes,240
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,44
influence,24.6
creativity,28.8
threat,24.0
ict_index,7.8
ea_index,0
position,Midfielder
