,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,6,4.5,4273,0,0,0,90,0,0,1,0,0,0,0,0,0,0,23,10.4,0.6,6.0,1.7,0,0,0,3,5,0,1,0,50,39,0,0,0,0,0,0,1,0,9,Brighton
2,19 Aug 13:30,1,3,False,2,4.5,9081,2415,536,1879,90,0,0,0,1,0,0,0,0,0,0,13,22.8,0.4,0.0,2.3,0,0,0,11,6,0,0,0,25,16,0,0,0,0,0,0,0,0,12,Burnley
3,26 Aug 13:30,2,1,True,2,4.5,12134,3037,1261,1776,90,0,0,0,1,0,0,0,0,0,0,12,13.2,0.3,0.0,1.4,0,0,0,6,10,0,0,0,28,25,0,0,0,0,0,0,0,0,29,Crystal Palace
4,02 Sep 16:00,2,1,True,11,4.5,12517,1138,1184,-46,90,1,0,0,1,0,0,0,0,0,3,32,61.8,0.1,17.0,7.9,0,0,0,13,4,0,2,1,19,10,0,0,0,0,0,0,0,0,39,Spurs
5,15 Sep 17:30,1,2,True,1,4.5,50681,36191,6490,29701,87,0,0,0,2,0,0,0,0,0,0,17,14.4,0.3,0.0,1.5,0,0,0,6,7,0,2,0,34,27,0,0,0,0,0,0,0,0,49,Man Utd
6,22 Sep 12:30,1,1,False,2,4.5,59448,13169,4619,8550,90,0,0,0,1,0,0,0,0,0,0,9,21.4,0.2,0.0,2.2,0,0,0,6,5,0,0,0,28,19,0,0,0,0,0,0,1,0,56,Fulham
7,29 Sep 15:00,2,0,False,-1,4.5,61897,6324,4359,1965,90,0,0,0,2,1,0,0,0,0,0,-3,6.8,0.3,66.0,7.3,0,0,0,1,0,0,0,0,33,24,0,1,0,1,0,0,1,0,61,Arsenal
8,06 Oct 15:00,0,4,True,-1,4.5,60432,2800,4583,-1783,90,0,0,0,4,0,0,1,0,0,0,6,12.4,11.3,40.0,6.4,0,0,0,3,2,1,1,0,47,41,0,1,0,0,0,1,1,0,80,Bournemouth
9,20 Oct 15:00,0,2,False,6,4.5,55566,1825,6756,-4931,90,0,0,1,0,0,0,0,0,0,0,25,14.8,0.7,0.0,1.6,0,0,0,7,1,0,0,0,38,33,0,0,0,0,0,0,0,0,90,Wolves
10,27 Oct 15:00,3,0,True,6,4.5,63001,7612,1880,5732,84,0,0,1,0,0,0,0,0,0,0,28,24.0,0.4,0.0,2.4,0,0,0,10,4,0,1,0,38,29,0,0,0,0,0,0,0,0,100,Huddersfield
