,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2,2,True,1,4.5,30913,0,0,0,90,0,0,0,2,0,0,0,0,0,0,14,14.6,0.5,0.0,1.5,0,0,0,2,4,0,0,0,63,58,0,0,0,0,0,0,0,0,10,Everton
2,18 Aug 15:00,2,0,False,1,4.5,30949,600,2343,-1743,90,0,0,0,2,0,0,0,0,0,0,16,18.4,0.4,0.0,1.9,0,0,0,5,8,0,0,0,65,60,0,0,0,0,0,0,0,0,17,Leicester
3,25 Aug 12:30,1,1,True,1,4.5,27727,408,4000,-3592,90,0,0,0,1,0,0,1,0,0,0,6,10.0,0.0,0.0,1.0,0,0,0,6,3,0,0,0,11,5,0,0,0,0,0,0,1,0,30,Man City
4,01 Sep 15:00,0,1,False,8,4.5,26936,726,2090,-1364,90,0,0,1,0,0,0,0,0,0,2,28,21.2,0.2,0.0,2.1,0,0,0,6,5,0,0,0,41,38,0,0,0,0,0,0,0,0,40,West Ham
5,16 Sep 13:30,1,0,True,6,4.5,27868,1637,1429,208,90,0,0,1,0,0,0,0,0,0,0,26,12.6,3.3,0.0,1.6,0,0,0,2,8,0,1,0,59,49,0,0,0,1,0,0,0,0,50,Burnley
6,22 Sep 15:00,1,1,False,2,4.5,28220,1325,1296,29,90,0,0,0,1,0,0,0,0,0,0,12,22.2,0.0,0.0,2.2,0,0,0,6,5,0,1,0,21,16,0,0,0,0,0,0,0,0,59,Man Utd
7,29 Sep 15:00,2,0,True,6,4.5,29899,1986,905,1081,90,0,0,1,0,0,0,0,0,0,0,28,33.0,0.3,0.0,3.3,0,0,0,9,7,0,0,0,51,44,0,0,0,0,0,0,0,0,70,Southampton
8,06 Oct 15:00,0,1,False,5,4.5,31131,1832,835,997,90,0,0,1,0,0,0,1,0,0,0,20,8.0,0.2,0.0,0.8,0,0,0,4,8,0,0,0,34,29,0,0,0,2,0,0,1,0,73,Crystal Palace
9,20 Oct 15:00,0,2,True,1,4.5,33648,3266,1390,1876,90,0,0,0,2,0,0,0,0,0,0,14,13.8,0.6,0.0,1.4,0,0,0,3,7,0,1,0,53,43,0,0,0,0,0,0,1,0,90,Watford
10,27 Oct 15:00,1,0,False,2,4.5,33417,997,1280,-283,90,0,0,0,1,0,0,0,0,0,0,16,12.0,0.4,0.0,1.2,0,0,0,3,10,0,0,0,58,54,0,0,0,0,0,0,0,0,91,Brighton
11,03 Nov 19:45,2,3,True,1,4.5,32466,594,1625,-1031,90,0,0,0,3,0,0,0,0,0,0,14,11.0,0.0,0.0,1.1,0,0,0,2,8,0,0,0,50,44,0,0,0,0,0,0,0,1,110,Spurs
12,11 Nov 16:30,1,1,False,2,4.5,31719,462,1345,-883,90,0,0,0,1,0,0,0,0,0,0,11,15.4,10.0,0.0,2.5,0,0,0,8,2,1,0,0,24,20,0,0,0,0,0,0,0,0,111,Arsenal
13,25 Nov 16:00,0,2,True,1,4.5,36036,4529,1005,3524,90,0,0,0,2,0,0,0,0,0,0,17,23.0,0.3,0.0,2.3,0,0,0,5,9,0,2,0,40,29,0,0,0,0,0,0,0,0,130,Huddersfield
14,30 Nov 20:00,2,1,False,1,4.5,35406,895,1159,-264,90,0,0,0,2,0,0,0,0,0,0,11,19.6,0.0,0.0,2.0,0,0,0,9,4,0,0,0,19,12,0,0,0,0,0,0,0,0,132,Cardiff
