,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 12:30,0.0,0.0,1.0,0.0,4.5,4744.0,48.0,746.0,-698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Newcastle
2,25 Aug 15:00,0.0,0.0,0.0,0.0,4.4,4161.0,59.0,755.0,-696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Huddersfield
3,02 Sep 13:30,2.0,3.0,1.0,0.0,4.4,3781.0,26.0,465.0,-439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Arsenal
4,15 Sep 15:00,4.0,1.0,0.0,0.0,4.3,3468.0,17.0,370.0,-353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,Chelsea
5,22 Sep 15:00,0.0,5.0,1.0,0.0,4.3,3305.0,48.0,236.0,-188.0,90.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.2,4.4,0.0,3.2,0.0,1.0,0.0,6.0,7.0,0.0,0.0,0.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,Man City
6,30 Sep 16:00,1.0,2.0,1.0,0.0,4.3,3199.0,42.0,168.0,-126.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.4,12.5,8.0,2.6,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,63.0,Burnley
7,06 Oct 15:00,1.0,0.0,0.0,0.0,4.3,3119.0,24.0,129.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,Spurs
8,20 Oct 15:00,4.0,2.0,1.0,0.0,4.3,3012.0,30.0,150.0,-120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,Fulham
9,27 Oct 15:00,4.0,1.0,0.0,0.0,4.2,2964.0,26.0,89.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,Liverpool
10,03 Nov 15:00,0.0,1.0,1.0,0.0,4.2,2932.0,34.0,83.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,Leicester
11,10 Nov 12:30,2.0,1.0,1.0,1.0,4.2,2910.0,29.0,70.0,-41.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,12.4,23.3,2.0,3.8,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,49.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,112.0,Brighton
12,24 Nov 15:00,1.0,0.0,0.0,2.0,4.2,2916.0,47.0,50.0,-3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.8,0.1,2.0,1.9,0.0,0.0,0.0,6.0,7.0,0.0,2.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,124.0,Everton
