entry,value
player_id,332
web_name,Cédric
team,Southampton
first_name,Cédric
second_name,Soares
cost_end,4.2
value_form,0.0
value_season,12.4
cost_change_start,-0.3
cost_start,4.5
dreamteam_count,1
selected_by_percent,2.1
total_points,52
ppg,2.9
minutes,1493
goals_scored,1
assists,2
clean_sheets,4
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,7
bps,273
influence,309.0
creativity,226.5
threat,103.0
ict_index,63.9
ea_index,0
position,Defender
