,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2.0,0.0,1.0,5.0,4.5,834188.0,0.0,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,13.4,17.0,2.0,3.2,0.0,1.0,0.0,5.0,7.0,1.0,0.0,0.0,48.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,Cardiff
2,18 Aug 15:00,1.0,2.0,0.0,2.0,4.5,846641.0,21491.0,38586.0,-17095.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.2,15.2,2.0,3.7,0.0,1.0,0.0,3.0,4.0,1.0,2.0,0.0,27.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,20.0,West Ham
3,25 Aug 15:00,2.0,2.0,1.0,1.0,4.5,770035.0,17008.0,96984.0,-79976.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.2,2.7,4.0,2.2,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,39.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,Everton
4,01 Sep 15:00,2.0,0.0,0.0,0.0,4.5,698135.0,7261.0,81670.0,-74409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,Chelsea
5,15 Sep 15:00,4.0,2.0,1.0,0.0,4.4,528445.0,1231.0,169640.0,-168409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,Leicester
6,22 Sep 15:00,4.0,0.0,0.0,0.0,4.4,423075.0,259.0,108312.0,-108053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,Burnley
7,01 Oct 20:00,2.0,1.0,1.0,0.0,4.3,367293.0,283.0,57705.0,-57422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,Crystal Palace
8,06 Oct 15:00,0.0,4.0,0.0,0.0,4.3,337013.0,191.0,31161.0,-30970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,Watford
9,20 Oct 15:00,0.0,0.0,1.0,0.0,4.3,297127.0,229.0,40591.0,-40362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,Southampton
10,27 Oct 15:00,0.0,3.0,0.0,6.0,4.2,276468.0,210.0,21536.0,-21326.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.4,41.7,25.0,8.6,0.0,4.0,0.0,4.0,4.0,2.0,0.0,0.0,56.0,47.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,94.0,Fulham
11,03 Nov 12:30,1.0,2.0,1.0,0.0,4.2,275474.0,3685.0,6124.0,-2439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,Man Utd
12,10 Nov 15:00,2.0,1.0,0.0,2.0,4.2,269707.0,1680.0,7674.0,-5994.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.8,4.2,4.0,2.3,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,43.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,119.0,Newcastle
13,25 Nov 13:30,1.0,2.0,1.0,1.0,4.2,265563.0,3532.0,7979.0,-4447.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.2,17.0,8.0,4.5,0.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,44.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,121.0,Arsenal
14,01 Dec 15:00,3.0,1.0,0.0,1.0,4.2,262826.0,1360.0,4222.0,-2862.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.4,13.3,10.0,4.5,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,43.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,138.0,Man City
15,04 Dec 19:45,2.0,1.0,1.0,1.0,4.2,263491.0,4345.0,4178.0,167.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,24.0,12.4,0.0,3.6,0.0,0.0,0.0,12.0,6.0,1.0,1.0,0.0,34.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,141.0,Huddersfield
