,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 13:30,6.0,1.0,1.0,9.0,8.4,195589.0,13025.0,63398.0,-50373.0,63.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,51.8,78.1,39.0,16.9,0.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,51.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,18.0,Huddersfield
2,25 Aug 12:30,1.0,1.0,0.0,1.0,8.4,341793.0,149265.0,28281.0,120984.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,13.4,39.4,32.0,8.5,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,69.0,59.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,30.0,Wolves
3,01 Sep 17:30,2.0,1.0,1.0,2.0,8.5,371692.0,61559.0,35879.0,25680.0,89.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.8,59.8,93.0,17.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,73.0,64.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,Newcastle
4,15 Sep 15:00,3.0,0.0,1.0,11.0,8.5,421399.0,85780.0,47713.0,38067.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,54.2,55.8,51.0,16.1,0.0,0.0,1.0,2.0,6.0,3.0,0.0,0.0,87.0,77.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,45.0,Fulham
5,22 Sep 15:00,0.0,5.0,0.0,0.0,8.6,516390.0,111117.0,26766.0,84351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,Cardiff
6,29 Sep 15:00,2.0,0.0,1.0,3.0,8.6,452124.0,18320.0,77393.0,-59073.0,87.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,72.5,36.0,13.4,0.0,2.0,0.0,1.0,5.0,4.0,1.0,0.0,101.0,95.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,67.0,Brighton
7,07 Oct 16:30,0.0,0.0,0.0,3.0,8.5,403475.0,12624.0,62487.0,-49863.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.6,25.9,34.0,6.8,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,45.0,37.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,76.0,Liverpool
8,20 Oct 15:00,5.0,0.0,1.0,9.0,8.5,405501.0,34073.0,39594.0,-5521.0,74.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,41.6,49.5,66.0,15.7,0.0,0.0,2.0,1.0,6.0,4.0,1.0,0.0,57.0,46.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,87.0,Burnley
9,29 Oct 20:00,0.0,1.0,0.0,3.0,8.5,426140.0,41964.0,23861.0,18103.0,88.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.6,56.3,57.0,13.5,0.0,0.0,2.0,2.0,9.0,5.0,0.0,0.0,58.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,99.0,Spurs
10,04 Nov 15:00,6.0,1.0,1.0,7.0,8.5,431607.0,29885.0,26451.0,3434.0,71.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,46.2,30.7,46.0,12.3,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,68.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,107.0,Southampton
