,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 12:30,1,2,False,2,6.0,428966,0,0,0,90,0,0,0,1,0,0,0,0,0,0,15,20.6,28.4,20.0,6.9,0,1,0,5,7,2,0,0,61,49,0,0,0,0,0,0,3,1,7,Newcastle
2,18 Aug 15:00,3,1,True,2,6.0,411618,10176,37635,-27459,90,0,0,0,1,0,0,0,0,0,0,20,13.6,43.2,45.0,10.2,0,2,2,1,6,3,0,0,45,39,0,0,0,1,0,2,0,0,19,Fulham
3,27 Aug 20:00,0,3,False,1,5.9,315502,2964,98544,-95580,8,0,0,0,0,0,0,0,0,0,0,4,5.6,0.0,0.0,0.6,0,0,0,3,1,0,0,0,6,4,0,0,0,0,0,0,0,0,26,Man Utd
4,02 Sep 16:00,2,1,False,1,5.9,259256,1848,61147,-59299,88,0,0,0,2,0,0,0,0,0,0,10,6.2,14.2,3.0,2.3,0,0,0,4,1,1,0,0,42,31,0,0,0,0,0,1,1,1,39,Watford
5,15 Sep 12:30,1,2,True,0,5.8,215040,867,46350,-45483,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Liverpool
6,22 Sep 17:30,1,2,False,0,5.8,184605,501,32035,-31534,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,Brighton
7,29 Sep 15:00,0,2,False,0,5.7,159975,637,25960,-25323,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,Huddersfield
8,06 Oct 15:00,1,0,True,1,5.7,143373,486,17519,-17033,2,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,79,Cardiff
9,20 Oct 15:00,0,1,False,6,5.6,133267,1100,11965,-10865,90,0,0,1,0,0,0,0,0,0,0,22,5.6,3.5,2.0,1.1,0,0,0,2,8,0,0,0,48,39,0,0,0,1,0,0,2,0,89,West Ham
10,29 Oct 20:00,0,1,True,1,5.6,129874,649,4378,-3729,90,0,0,0,1,0,0,1,0,0,0,10,26.0,2.6,0.0,2.9,0,0,0,6,2,0,0,0,53,47,0,0,0,0,0,0,0,0,99,Man City
11,03 Nov 19:45,2,3,False,1,5.6,128601,2257,4171,-1914,90,0,0,0,2,0,0,0,0,0,0,13,28.6,6.7,2.0,3.7,0,1,0,3,6,0,2,0,56,44,0,0,0,2,0,0,1,0,110,Wolves
12,10 Nov 17:30,0,1,False,6,5.6,126785,1567,3592,-2025,90,0,0,1,0,0,0,0,0,0,0,25,24.4,29.2,3.0,5.7,0,1,0,5,2,2,0,0,60,50,0,0,0,1,0,1,0,0,114,Crystal Palace
13,24 Nov 17:30,3,1,True,2,5.6,127513,3536,3170,366,90,0,0,0,1,0,0,0,0,0,0,2,10.0,2.8,8.0,2.1,0,0,0,3,1,0,0,0,40,25,0,0,0,3,0,0,1,0,127,Chelsea
14,02 Dec 14:05,4,2,False,0,5.6,128126,2253,1866,387,81,0,0,0,4,0,0,0,0,0,0,9,14.8,15.8,0.0,3.1,0,0,0,6,2,1,0,0,27,23,0,0,0,1,0,0,0,0,131,Arsenal
15,05 Dec 20:00,3,1,True,0,5.6,131855,5760,2721,3039,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,Southampton
16,08 Dec 19:45,0,2,False,8,5.6,130466,2792,4196,-1404,90,0,0,1,0,0,0,0,0,0,2,36,30.4,16.0,2.0,4.8,0,1,0,4,9,1,7,0,39,28,0,0,0,4,0,0,1,0,157,Leicester
17,15 Dec 15:00,1,0,True,8,5.6,148574,18616,2684,15932,90,0,0,1,0,0,0,0,0,0,2,27,24.4,13.3,0.0,3.8,0,0,0,6,8,1,0,0,106,94,0,0,0,0,0,0,1,0,168,Burnley
18,23 Dec 16:00,2,6,False,1,5.6,158298,15043,4345,10698,90,0,0,0,2,0,0,0,0,0,0,13,18.4,11.8,0.0,3.0,0,0,0,6,2,1,0,0,36,29,0,0,0,1,0,0,0,0,175,Everton
19,26 Dec 15:00,5,0,True,1,5.6,160975,7621,5549,2072,6,0,0,0,0,0,0,0,0,0,0,5,4.2,0.3,0.0,0.5,0,0,0,1,0,0,1,0,6,6,0,0,0,0,0,0,0,0,189,Bournemouth
20,29 Dec 15:00,1,3,True,0,5.6,154022,3275,10266,-6991,90,0,0,0,3,0,0,1,0,0,0,7,16.8,4.3,0.0,2.1,0,0,0,5,3,0,0,0,63,56,0,0,0,2,0,0,1,0,199,Wolves
21,01 Jan 17:30,0,3,False,0,5.6,148198,2817,9131,-6314,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,Cardiff
22,13 Jan 16:30,0,1,True,2,5.6,132590,873,16646,-15773,90,0,0,0,1,0,0,0,0,0,0,13,19.2,13.3,2.0,3.5,0,0,0,4,8,1,0,0,42,40,0,0,0,2,0,0,2,0,219,Man Utd
23,20 Jan 16:00,1,2,False,0,5.6,130529,2795,5488,-2693,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,Fulham
24,30 Jan 20:00,2,1,True,0,5.6,120968,640,10177,-9537,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,Watford
25,02 Feb 12:30,1,0,True,0,5.6,112674,37,8132,-8095,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,Newcastle
26,10 Feb 13:30,3,1,True,0,5.6,105975,31,7029,-6998,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,Leicester
27,23 Feb 12:30,2,1,False,0,5.6,102270,50,3710,-3660,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,Burnley
28,27 Feb 20:00,2,0,False,1,5.6,102238,97,476,-379,90,0,0,0,2,0,0,0,0,0,0,16,15.6,12.9,6.0,3.5,0,0,1,5,5,1,0,0,46,40,0,0,0,2,0,0,0,1,276,Chelsea
