,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,1,6.0,42370,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cardiff
2,18 Aug 15:00,1,2,False,0,6.0,44329,1809,6963,-5154,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,West Ham
3,25 Aug 15:00,2,2,True,0,5.9,37807,1198,9438,-8240,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Everton
4,01 Sep 15:00,2,0,False,0,5.8,33018,602,6605,-6003,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Chelsea
5,15 Sep 15:00,4,2,True,0,5.8,30743,898,4223,-3325,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,Leicester
6,22 Sep 15:00,4,0,False,1,5.8,29444,595,2412,-1817,12,0,0,0,2,0,0,0,0,0,0,3,3.0,0.0,23.0,2.6,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,53,Burnley
7,01 Oct 20:00,2,1,True,0,5.7,28581,449,1656,-1207,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,Crystal Palace
8,06 Oct 15:00,0,4,False,0,5.7,27876,273,1176,-903,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Watford
9,20 Oct 15:00,0,0,True,0,5.7,26999,388,1562,-1174,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,Southampton
10,27 Oct 15:00,0,3,False,1,5.7,26753,332,774,-442,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Fulham
11,03 Nov 12:30,1,2,True,0,5.7,26590,494,847,-353,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,Man Utd
12,10 Nov 15:00,2,1,False,1,5.6,26182,314,883,-569,8,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,Newcastle
13,25 Nov 13:30,1,2,True,0,5.6,26217,436,640,-204,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,Arsenal
14,01 Dec 15:00,3,1,False,0,5.6,26126,216,421,-205,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,Man City
15,04 Dec 19:45,2,1,True,0,5.6,26012,226,441,-215,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,Huddersfield
16,08 Dec 12:30,0,4,True,0,5.6,25762,151,488,-337,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,Liverpool
17,15 Dec 15:00,2,0,False,0,5.6,25840,464,596,-132,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,Wolves
18,22 Dec 15:00,2,0,True,0,5.6,25758,203,439,-236,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,Brighton
19,26 Dec 15:00,5,0,False,0,5.6,25596,178,521,-343,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,Spurs
20,30 Dec 16:30,4,1,False,0,5.6,25483,198,463,-265,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,Man Utd
21,02 Jan 19:45,3,3,True,0,5.6,25465,239,391,-152,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,Watford
22,13 Jan 14:15,2,0,False,0,5.6,24845,238,1027,-789,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,Everton
23,19 Jan 15:00,2,0,True,0,5.6,24018,16,856,-840,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,West Ham
24,30 Jan 19:45,4,0,True,0,5.6,23502,9,563,-554,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,Chelsea
25,02 Feb 17:30,2,0,False,0,5.6,23328,5,194,-189,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,Cardiff
26,09 Feb 15:00,3,0,False,0,5.6,23035,13,325,-312,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,Liverpool
27,23 Feb 15:00,1,1,True,0,5.6,22782,10,293,-283,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,Wolves
28,27 Feb 19:45,5,1,False,0,5.6,22730,4,82,-78,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,Arsenal
29,02 Mar 15:00,0,1,True,0,5.6,22646,8,93,-85,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,Man City
30,09 Mar 15:00,0,2,False,0,5.6,22539,8,129,-121,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,Huddersfield
31,16 Mar 15:00,2,2,True,0,5.6,22447,7,98,-91,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,Newcastle
32,30 Mar 15:00,2,0,False,0,5.6,22399,3,72,-69,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,Leicester
33,06 Apr 15:00,1,3,True,0,5.6,22353,6,64,-58,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Burnley
34,13 Apr 15:00,0,5,False,0,5.6,22322,3,46,-43,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,Brighton
35,20 Apr 15:00,0,1,True,0,5.6,22291,4,50,-46,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,Fulham
36,27 Apr 15:00,3,3,False,0,5.6,22259,3,57,-54,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,Southampton
37,04 May 12:30,1,0,True,0,5.6,22216,5,52,-47,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,Spurs
38,12 May 15:00,5,3,False,0,5.6,22184,13,54,-41,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,Crystal Palace
