,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 13:30,6.0,1.0,1.0,0.0,5.5,17704.0,269.0,2929.0,-2660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Huddersfield
2,25 Aug 12:30,1.0,1.0,0.0,0.0,5.4,15202.0,213.0,3224.0,-3011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Wolves
3,01 Sep 17:30,2.0,1.0,1.0,0.0,5.4,13552.0,150.0,2144.0,-1994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,Newcastle
4,15 Sep 15:00,3.0,0.0,1.0,8.0,5.3,12728.0,155.0,1339.0,-1184.0,66.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,17.6,5.8,0.0,2.3,0.0,0.0,0.0,6.0,8.0,0.0,2.0,0.0,57.0,53.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,45.0,Fulham
5,22 Sep 15:00,0.0,5.0,0.0,6.0,5.3,20326.0,7543.0,1073.0,6470.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.4,19.8,0.0,3.4,0.0,1.0,0.0,3.0,6.0,1.0,0.0,0.0,81.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,Cardiff
6,29 Sep 15:00,2.0,0.0,1.0,0.0,5.3,35450.0,15357.0,1493.0,13864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,Brighton
7,07 Oct 16:30,0.0,0.0,0.0,0.0,5.3,22433.0,301.0,12131.0,-11830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,Liverpool
8,20 Oct 15:00,5.0,0.0,1.0,0.0,5.3,15899.0,87.0,7004.0,-6917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,Burnley
9,29 Oct 20:00,0.0,1.0,0.0,0.0,5.3,14594.0,80.0,1626.0,-1546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,Spurs
10,04 Nov 15:00,6.0,1.0,1.0,1.0,5.3,13746.0,127.0,1089.0,-962.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.4,0.7,0.0,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,Southampton
