,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 12:30,1,2,False,1,5.0,72326,0,0,0,22,0,0,0,0,0,0,0,0,0,0,2,3.0,0.5,1.0,0.5,0,0,0,0,3,0,0,0,24,23,0,0,0,2,0,1,0,1,7,Newcastle
2,18 Aug 15:00,3,1,True,1,5.0,79455,3683,10902,-7219,27,0,0,0,0,0,0,0,0,0,0,4,3.2,1.7,0.0,0.5,0,0,0,0,4,0,0,0,27,25,0,0,0,0,0,0,0,0,19,Fulham
3,27 Aug 20:00,0,3,False,3,4.9,73887,2579,11509,-8930,90,0,0,1,0,0,0,0,0,0,0,19,15.6,1.5,0.0,1.7,0,0,0,7,9,0,4,0,37,32,0,0,0,1,0,0,4,1,26,Man Utd
4,02 Sep 16:00,2,1,False,1,4.9,76050,5000,6686,-1686,85,0,0,0,2,0,0,1,0,0,0,5,1.2,3.0,0.0,0.4,0,0,0,0,8,0,0,0,48,38,0,0,0,1,0,0,2,1,39,Watford
5,15 Sep 12:30,1,2,True,1,4.9,75633,3568,6775,-3207,59,0,0,0,2,0,0,0,0,0,0,7,0.0,1.8,0.0,0.2,0,0,0,0,7,0,0,0,36,32,0,0,0,1,0,0,2,2,48,Liverpool
6,22 Sep 17:30,1,2,False,2,4.9,75073,2827,4967,-2140,90,0,0,0,1,0,0,0,0,0,0,17,16.4,5.2,0.0,2.2,0,0,0,3,4,0,1,0,70,68,0,0,0,0,0,0,0,1,52,Brighton
7,29 Sep 15:00,0,2,False,1,4.9,74835,2488,3827,-1339,45,0,0,0,0,0,0,0,0,0,0,5,4.8,1.8,0.0,0.7,0,0,0,3,1,0,1,0,18,17,0,0,0,0,0,0,1,0,66,Huddersfield
8,06 Oct 15:00,1,0,True,0,4.9,66639,354,8504,-8150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,Cardiff
9,20 Oct 15:00,0,1,False,1,4.9,61166,625,6571,-5946,14,0,0,0,0,0,0,0,0,0,0,1,0.2,0.3,0.0,0.1,0,0,0,0,0,0,0,0,8,7,0,0,0,2,0,0,0,0,89,West Ham
10,29 Oct 20:00,0,1,True,2,4.9,60978,801,1568,-767,74,0,0,0,1,0,0,0,0,0,0,11,6.6,1.6,0.0,0.8,0,0,0,2,8,0,0,0,35,32,0,0,0,2,0,0,3,1,99,Man City
11,03 Nov 19:45,2,3,False,1,4.9,60985,1192,1673,-481,6,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,110,Wolves
12,10 Nov 17:30,0,1,False,0,4.9,57240,178,3930,-3752,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,Crystal Palace
13,24 Nov 17:30,3,1,True,0,4.9,53996,59,3373,-3314,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,Chelsea
14,02 Dec 14:05,4,2,False,0,4.9,53014,32,1159,-1127,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,Arsenal
15,05 Dec 20:00,3,1,True,0,4.9,52027,32,1050,-1018,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,Southampton
16,08 Dec 19:45,0,2,False,0,4.9,51133,21,941,-920,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,Leicester
17,15 Dec 15:00,1,0,True,0,4.9,49958,33,1221,-1188,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,Burnley
18,23 Dec 16:00,2,6,False,0,4.9,49355,31,719,-688,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,Everton
19,26 Dec 15:00,5,0,True,0,4.9,48626,36,789,-753,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,Bournemouth
20,29 Dec 15:00,1,3,True,0,4.9,47953,34,750,-716,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,Wolves
21,01 Jan 17:30,0,3,False,0,4.9,47471,34,543,-509,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,Cardiff
22,13 Jan 16:30,0,1,True,0,4.9,46727,75,874,-799,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,Man Utd
23,20 Jan 16:00,1,2,False,0,4.9,46123,62,702,-640,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,Fulham
24,30 Jan 20:00,2,1,True,0,4.9,45454,45,742,-697,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,Watford
25,02 Feb 12:30,1,0,True,0,4.9,45222,2,258,-256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,Newcastle
26,10 Feb 13:30,3,1,True,0,4.9,44746,5,475,-470,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,Leicester
27,23 Feb 12:30,2,1,False,0,4.9,44315,11,443,-432,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,Burnley
28,27 Feb 20:00,2,0,False,0,4.9,44253,3,101,-98,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,Chelsea
29,02 Mar 12:30,1,1,True,0,4.9,44110,1,150,-149,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,Arsenal
30,09 Mar 15:00,2,1,False,0,4.9,43964,4,150,-146,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,Southampton
31,31 Mar 16:30,2,1,False,0,4.9,43701,5,142,-137,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,Liverpool
32,03 Apr 19:45,2,0,True,0,4.9,43701,5,142,-137,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,Crystal Palace
33,13 Apr 12:30,4,0,True,0,4.9,43565,2,67,-65,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,Huddersfield
34,20 Apr 12:30,1,0,False,0,4.9,43458,7,111,-104,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,Man City
35,23 Apr 19:45,1,0,True,0,4.9,43458,7,111,-104,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,Brighton
36,27 Apr 12:30,0,1,True,0,4.9,43385,2,72,-70,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,West Ham
37,04 May 12:30,1,0,False,0,4.9,43314,4,83,-79,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,Bournemouth
38,12 May 15:00,2,2,True,0,4.9,43244,7,79,-72,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,Everton
