,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,3,True,1,5.5,67727,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0.0,10.8,8.0,1.8,0,0,0,0,1,1,0,0,14,8,0,0,0,2,0,1,1,0,4,Chelsea
2,19 Aug 13:30,6,1,False,1,5.5,59774,460,8708,-8248,45,0,0,0,3,0,0,0,0,0,0,3,2.4,0.8,0.0,0.3,0,0,0,1,4,0,0,0,10,7,0,0,0,1,0,0,0,0,18,Man City
3,25 Aug 15:00,0,0,True,1,5.4,51129,932,10088,-9156,10,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,24,Cardiff
4,01 Sep 15:00,1,1,False,1,5.4,43408,429,8519,-8090,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Everton
5,15 Sep 15:00,0,1,True,1,5.3,37816,582,6525,-5943,12,0,0,0,0,0,0,0,0,0,0,2,1.6,11.6,2.0,1.5,0,0,0,0,1,1,0,0,7,4,0,0,0,1,0,0,1,0,44,Crystal Palace
6,22 Sep 15:00,3,1,False,5,5.3,34022,362,4285,-3923,90,0,1,0,3,0,0,0,0,0,0,9,22.2,13.2,33.0,6.8,0,0,0,2,5,1,1,0,26,18,0,1,0,4,0,1,4,1,57,Leicester
7,29 Sep 15:00,0,2,True,2,5.3,33025,1169,2427,-1258,90,0,0,0,2,0,0,0,0,0,0,6,2.8,12.2,10.0,2.5,0,0,0,0,6,1,1,0,25,17,0,0,0,3,1,1,0,0,66,Spurs
8,06 Oct 15:00,1,1,False,0,5.2,32408,1362,2198,-836,58,0,0,0,1,0,0,1,0,0,0,-5,0.0,11.5,28.0,3.8,0,0,0,0,1,1,0,0,6,6,0,1,0,1,0,0,2,0,72,Burnley
9,20 Oct 17:30,0,1,True,2,5.2,29973,915,3385,-2470,90,0,0,0,1,0,0,0,0,0,0,4,6.8,2.8,69.0,7.9,0,0,0,1,1,0,1,0,21,13,0,0,0,2,1,0,1,0,86,Liverpool
10,27 Oct 15:00,3,0,False,2,5.2,30056,1501,1620,-119,62,0,0,0,2,0,0,0,0,0,0,1,1.0,11.0,12.0,2.4,0,0,0,0,0,1,0,0,13,9,0,0,0,3,2,2,0,1,100,Watford
11,05 Nov 20:00,1,0,True,1,5.2,32636,4341,2064,2277,34,0,0,0,0,0,0,0,0,0,0,-2,0.2,4.3,0.0,0.5,0,0,0,1,1,0,0,0,14,8,0,0,0,4,0,0,1,0,106,Fulham
12,10 Nov 15:00,1,1,True,1,5.2,30227,618,2789,-2171,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,6.0,0.4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,115,West Ham
13,25 Nov 16:00,0,2,False,0,5.2,28573,619,2354,-1735,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,Wolves
14,01 Dec 15:00,1,2,True,1,5.1,27406,370,1612,-1242,41,0,0,0,1,0,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,6,2,0,0,0,2,0,0,2,0,135,Brighton
15,04 Dec 19:45,2,1,False,2,5.1,27109,875,1244,-369,90,0,0,0,2,0,0,0,0,0,0,-2,0.0,5.2,53.0,5.6,0,0,0,0,0,0,0,0,31,20,0,1,0,1,0,3,1,0,141,Bournemouth
16,08 Dec 15:00,1,0,False,2,5.1,26570,661,1212,-551,90,0,0,0,1,0,0,0,0,0,0,-2,0.0,2.4,26.0,2.8,0,0,0,1,4,0,0,0,31,17,0,0,0,5,0,1,3,0,151,Arsenal
17,15 Dec 15:00,0,1,True,2,5.1,29928,4171,1304,2867,90,0,0,0,1,0,0,0,0,0,0,2,1.2,12.0,55.0,6.8,0,0,0,0,0,1,0,0,17,10,0,0,0,3,0,2,0,0,164,Newcastle
18,22 Dec 15:00,1,3,True,0,5.1,29367,1451,1850,-399,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,Southampton
19,26 Dec 15:00,3,1,False,2,5.1,27770,745,2348,-1603,72,0,0,0,2,0,0,0,0,0,0,0,1.2,10.6,27.0,3.9,0,0,0,0,1,1,0,0,7,4,0,0,0,3,2,1,1,0,187,Man Utd
20,29 Dec 15:00,1,0,False,1,5.1,29252,2512,1433,1079,25,0,0,0,1,0,0,0,0,0,0,-1,0.0,0.6,10.0,0.9,0,0,0,0,1,0,0,0,11,3,0,0,0,2,1,1,0,0,194,Fulham
21,02 Jan 19:45,1,2,True,1,5.1,29228,1908,1881,27,7,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,206,Burnley
22,12 Jan 15:00,0,0,False,1,5.1,28655,1963,2703,-740,3,0,0,0,0,0,0,0,0,0,0,3,3.0,0.3,17.0,2.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,213,Cardiff
23,20 Jan 13:30,0,3,True,0,5.1,27434,1044,2320,-1276,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,Man City
24,29 Jan 19:45,0,1,True,1,5.1,26880,839,1510,-671,3,0,0,0,0,0,0,0,0,0,0,3,0.0,0.5,0.0,0.1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,234,Everton
25,02 Feb 15:00,5,0,False,0,5.1,26347,525,1089,-564,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,Chelsea
26,09 Feb 15:00,1,2,True,1,5.1,25743,648,1305,-657,24,0,0,0,0,0,0,0,0,0,0,2,0.0,11.5,8.0,1.9,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,1,1,0,254,Arsenal
27,23 Feb 15:00,2,0,False,2,5.1,25613,896,1070,-174,75,0,0,0,2,0,0,0,0,0,0,7,9.2,3.0,17.0,2.9,0,0,0,4,3,0,1,0,19,11,0,0,0,4,0,0,1,1,269,Newcastle
28,26 Feb 19:45,1,0,True,0,5.1,26232,994,500,494,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,Wolves
29,02 Mar 15:00,1,0,False,0,5.1,26175,661,740,-79,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,Brighton
30,09 Mar 15:00,0,2,True,0,5.1,25367,304,1135,-831,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,Bournemouth
31,16 Mar 15:00,4,3,False,0,5.1,23881,62,1111,-1049,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,West Ham
32,30 Mar 15:00,2,0,False,0,5.1,23309,52,1033,-981,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,Crystal Palace
33,06 Apr 15:00,1,4,True,0,5.1,22927,41,512,-471,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,Leicester
34,13 Apr 12:30,4,0,False,0,5.1,22625,16,361,-345,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,Spurs
35,20 Apr 15:00,1,2,True,0,5.1,22174,26,467,-441,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,Watford
36,26 Apr 20:00,5,0,False,0,5.1,21905,23,322,-299,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,Liverpool
37,05 May 14:00,1,1,True,0,5.1,21650,34,291,-257,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,Man Utd
38,12 May 15:00,1,1,False,0,5.1,21628,108,166,-58,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,Southampton
