,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,3,True,1,5.0,2723,0,0,0,19,0,0,0,1,0,0,0,0,0,0,2,4.2,0.3,0.0,0.5,0,0,0,0,1,0,0,0,5,5,0,0,0,1,0,0,0,0,4,Chelsea
2,19 Aug 13:30,6,1,False,1,5.0,2316,33,504,-471,29,0,0,0,2,0,0,0,0,0,0,2,3.6,0.3,0.0,0.4,0,0,0,2,2,0,0,0,6,4,0,0,0,1,0,0,1,0,18,Man City
3,25 Aug 15:00,0,0,True,3,4.9,2072,142,434,-292,67,0,0,1,0,0,0,0,0,0,0,2,0.4,3.8,2.0,0.6,0,0,0,0,2,0,1,0,20,17,0,0,0,4,0,0,2,0,24,Cardiff
4,01 Sep 15:00,1,1,False,1,4.9,2010,170,315,-145,59,0,0,0,1,0,0,0,0,0,0,4,3.6,0.6,2.0,0.6,0,0,0,0,1,0,0,0,10,6,0,0,0,1,0,0,0,2,36,Everton
5,15 Sep 15:00,0,1,True,1,4.9,1778,57,302,-245,22,0,0,0,0,0,0,0,0,0,0,2,1.4,1.3,2.0,0.5,0,0,0,0,1,0,0,0,8,5,0,0,0,1,1,0,0,1,44,Crystal Palace
6,22 Sep 15:00,3,1,False,1,4.8,1622,53,233,-180,33,0,0,0,2,0,0,0,0,0,0,-1,0.0,0.4,2.0,0.0,0,0,0,0,2,0,0,0,7,4,0,0,0,2,0,0,2,0,57,Leicester
7,29 Sep 15:00,0,2,True,0,4.8,1493,17,155,-138,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,Spurs
8,06 Oct 15:00,1,1,False,0,4.8,1404,12,107,-95,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,Burnley
9,20 Oct 17:30,0,1,True,1,4.7,1359,67,134,-67,1,0,0,0,0,0,0,0,0,0,0,6,5.0,17.0,2.0,2.4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,86,Liverpool
10,27 Oct 15:00,3,0,False,0,4.7,1311,46,97,-51,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Watford
