entry,value
player_id,319
web_name,Diamé
team,Newcastle
first_name,Mohamed
second_name,Diamé
cost_end,4.8
value_form,0.2
value_season,11.7
cost_change_start,-0.2
cost_start,5.0
dreamteam_count,0
selected_by_percent,0.1
total_points,56
ppg,1.9
minutes,2162
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,32
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,0
bps,213
influence,310.8
creativity,82.9
threat,204.0
ict_index,60.0
ea_index,0
position,Midfielder
