entry,value
player_id,539
web_name,Diangana
team,West Ham
first_name,Grady
second_name,Diangana
cost_end,4.5
value_form,0.2
value_season,5.6
cost_change_start,0.0
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.0
total_points,25
ppg,1.5
minutes,600
goals_scored,0
assists,1
clean_sheets,2
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,86
influence,115.0
creativity,174.5
threat,175.0
ict_index,46.2
ea_index,0
position,Midfielder
