,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 17:30,2.0,2.0,0.0,1.0,5.0,141155.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,Wolves
2,18 Aug 15:00,2.0,1.0,1.0,0.0,5.0,132899.0,3365.0,22710.0,-19345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Southampton
3,25 Aug 15:00,2.0,2.0,0.0,0.0,4.9,96530.0,1200.0,39027.0,-37827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Bournemouth
4,01 Sep 15:00,1.0,1.0,1.0,7.0,4.8,79186.0,958.0,20169.0,-19211.0,75.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,29.0,46.7,0.0,7.6,0.0,2.0,1.0,2.0,6.0,3.0,0.0,0.0,46.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,36.0,Huddersfield
5,16 Sep 16:00,1.0,3.0,1.0,1.0,4.8,86608.0,9748.0,5974.0,3774.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,29.2,58.2,23.0,11.0,0.0,4.0,2.0,3.0,7.0,4.0,0.0,0.0,44.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,43.0,West Ham
6,23 Sep 16:00,2.0,0.0,0.0,0.0,4.8,84842.0,3863.0,5888.0,-2025.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,25.8,15.7,9.0,5.1,0.0,1.0,0.0,7.0,5.0,1.0,2.0,0.0,37.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,51.0,Arsenal
7,29 Sep 15:00,3.0,0.0,1.0,6.0,4.8,87769.0,6419.0,4966.0,1453.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.6,9.7,0.0,2.3,0.0,2.0,0.0,5.0,7.0,0.0,1.0,0.0,38.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,65.0,Fulham
8,06 Oct 15:00,1.0,2.0,0.0,2.0,4.8,88966.0,3818.0,2814.0,1004.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.4,17.3,15.0,5.4,0.0,1.0,0.0,5.0,8.0,1.0,1.0,0.0,58.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,75.0,Leicester
9,21 Oct 16:00,2.0,0.0,1.0,6.0,4.8,92698.0,6776.0,4346.0,2430.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.4,51.4,21.0,8.9,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,62.0,55.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,85.0,Crystal Palace
10,28 Oct 16:00,2.0,1.0,0.0,1.0,4.8,92085.0,2886.0,3466.0,-580.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.8,26.2,1.0,4.3,0.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,33.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,97.0,Man Utd
