,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,4.0,0.0,0.0,0.0,4.5,46623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Liverpool
2,18 Aug 15:00,1.0,2.0,1.0,0.0,4.5,43284.0,526.0,5908.0,-5382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Bournemouth
3,25 Aug 15:00,3.0,1.0,0.0,-2.0,4.4,35248.0,243.0,8626.0,-8383.0,90.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,6.2,0.2,2.0,0.8,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,17.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,21.0,Arsenal
4,01 Sep 15:00,0.0,1.0,1.0,2.0,4.4,33025.0,835.0,3836.0,-3001.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,0.4,2.0,2.3,0.0,0.0,0.0,7.0,8.0,0.0,2.0,0.0,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Wolves
5,16 Sep 16:00,1.0,3.0,0.0,2.0,4.4,30498.0,276.0,3050.0,-2774.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,26.8,0.2,17.0,4.4,0.0,0.0,0.0,7.0,4.0,0.0,1.0,0.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,Everton
6,23 Sep 13:30,0.0,0.0,1.0,6.0,4.3,29416.0,452.0,1725.0,-1273.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.6,0.1,0.0,2.5,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,Chelsea
7,29 Sep 12:30,3.0,1.0,1.0,2.0,4.3,31129.0,2245.0,1037.0,1208.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0,10.3,2.0,3.9,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,Man Utd
8,05 Oct 20:00,1.0,0.0,0.0,2.0,4.3,33543.0,2872.0,881.0,1991.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.8,0.6,0.0,1.3,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,46.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,Brighton
9,20 Oct 15:00,0.0,1.0,1.0,2.0,4.3,33796.0,1778.0,1691.0,87.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,33.8,10.5,6.0,5.0,0.0,0.0,0.0,8.0,9.0,1.0,4.0,0.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,89.0,Spurs
10,27 Oct 17:30,1.0,1.0,0.0,2.0,4.3,34474.0,1635.0,1086.0,549.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.4,0.1,0.0,1.6,0.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,19.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,95.0,Leicester
