entry,value
player_id,425
web_name,Doherty
team,Wolves
first_name,Matt
second_name,Doherty
cost_end,5.3
value_form,1.1
value_season,27.2
cost_change_start,0.8
cost_start,4.5
dreamteam_count,4
selected_by_percent,21.9
total_points,144
ppg,3.8
minutes,3141
goals_scored,4
assists,7
clean_sheets,8
goals_conceded,41
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,12
bps,596
influence,758.8
creativity,547.4
threat,711.0
ict_index,201.6
ea_index,0
position,Defender
