,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,3,6.0,108189,0,0,0,90,0,0,1,0,0,0,0,0,0,0,16,11.6,25.8,2.0,3.9,0,0,0,1,10,2,1,0,66,55,0,0,0,1,0,0,1,1,9,Brighton
2,19 Aug 13:30,1,3,False,6,6.0,102174,3062,13536,-10474,90,0,1,0,1,0,0,0,0,0,1,26,32.0,18.1,2.0,5.2,0,0,1,2,8,1,0,0,46,38,0,0,0,1,0,0,0,1,12,Burnley
3,26 Aug 13:30,2,1,True,2,6.0,101619,8699,12141,-3442,90,0,0,0,1,0,0,0,0,0,0,13,10.0,37.3,16.0,6.3,0,0,0,0,10,3,0,0,52,42,0,0,0,0,0,1,2,0,29,Crystal Palace
4,02 Sep 16:00,2,1,True,0,6.0,93812,3935,12700,-8765,90,0,0,0,1,1,0,0,0,0,0,9,3.4,2.2,2.0,0.8,0,0,0,3,10,0,2,0,36,27,0,0,0,1,0,0,1,1,39,Spurs
5,15 Sep 17:30,1,2,True,8,5.9,86060,3322,12137,-8815,90,0,1,0,2,0,0,0,0,0,3,28,31.0,13.7,19.0,6.4,0,0,0,4,5,1,3,0,56,51,0,0,0,1,0,2,1,1,49,Man Utd
6,22 Sep 12:30,1,1,False,2,5.9,94126,12004,6193,5811,90,0,0,0,1,0,0,0,0,0,0,16,14.4,23.3,9.0,4.7,0,0,0,1,7,2,1,0,40,28,0,0,0,0,0,0,0,2,56,Fulham
7,29 Sep 15:00,2,0,False,1,5.9,88651,2384,7730,-5346,90,0,0,0,2,0,0,1,0,0,0,10,9.2,12.2,13.0,3.4,0,0,0,2,8,1,2,0,41,33,0,1,0,0,0,2,1,1,61,Arsenal
8,06 Oct 15:00,0,4,True,1,5.9,85802,2461,5936,-3475,90,0,0,0,4,0,0,1,0,0,0,5,5.4,3.7,16.0,2.5,0,0,0,1,7,0,0,0,45,35,0,0,0,0,0,1,1,0,80,Bournemouth
9,20 Oct 15:00,0,2,False,11,5.9,79496,1800,8339,-6539,90,0,2,1,0,0,0,0,0,0,2,35,57.4,45.1,37.0,14.0,0,0,1,2,11,4,1,0,87,76,0,1,0,4,0,0,1,2,90,Wolves
10,27 Oct 15:00,3,0,True,3,5.9,109395,29856,3411,26445,90,0,0,1,0,0,0,0,0,0,0,9,16.0,14.3,2.0,3.2,0,0,0,2,7,1,0,0,62,48,0,0,0,3,0,0,1,1,100,Huddersfield
11,03 Nov 15:00,1,0,False,2,5.9,101977,5254,10714,-5460,90,0,0,0,1,0,0,0,0,0,0,16,22.8,13.3,4.0,4.0,0,0,1,4,5,1,0,0,70,58,0,0,0,1,0,0,0,0,108,Newcastle
12,10 Nov 15:00,1,1,False,2,5.9,98290,4659,9045,-4386,90,0,0,0,1,0,0,0,0,0,0,9,15.8,13.6,4.0,3.3,0,0,0,3,4,1,0,0,64,54,0,0,0,4,0,0,1,1,120,Southampton
13,24 Nov 15:00,0,3,True,2,5.9,90965,2725,10137,-7412,90,0,0,0,3,0,0,0,0,0,0,10,9.8,2.4,0.0,1.2,0,0,0,3,11,0,0,0,47,38,0,0,0,3,0,0,4,3,128,Liverpool
14,01 Dec 15:00,2,0,False,2,5.9,88691,1668,4551,-2883,90,0,0,0,2,0,0,0,0,0,0,8,4.6,5.5,15.0,2.5,0,0,0,3,2,0,0,0,66,58,0,0,0,1,0,1,0,0,136,Leicester
15,04 Dec 20:00,1,2,True,8,5.9,82749,784,6629,-5845,90,1,0,0,2,0,0,0,0,0,1,33,48.4,11.8,120.0,18.0,0,0,1,4,7,1,2,0,34,26,0,1,0,2,0,0,0,0,146,Man City
