entry,value
player_id,309
web_name,Dubravka
team,Stoke
first_name,Martin
second_name,Dubravka
cost_end,5.0
value_form,0.6
value_season,26.2
cost_change_start,0
cost_start,5.0
dreamteam_count,0
selected_by_percent,1.0
total_points,131
ppg,3.4
minutes,3420
goals_scored,0
assists,0
clean_sheets,11
goals_conceded,48
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,96
bonus,10
bps,647
influence,783.6
creativity,0.0
threat,0.0
ict_index,78.4
ea_index,0
position,Goalkeeper
