,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,False,1,4.5,152747,0,0,0,90,0,0,0,2,0,0,0,0,0,0,14,15.0,0.3,0.0,1.5,0,0,0,7,8,0,1,0,45,35,0,0,0,0,0,0,1,0,9,Watford
2,19 Aug 16:00,3,2,True,1,4.5,145429,1424,13883,-12459,19,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,5,4,0,0,0,1,0,0,0,0,11,Man Utd
3,25 Aug 17:30,1,0,False,0,4.5,111976,392,33816,-33424,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,Liverpool
4,01 Sep 15:00,2,2,True,1,4.4,92382,276,20610,-20334,90,0,0,0,2,0,0,0,0,0,0,16,14.2,21.8,4.0,4.0,0,0,0,4,8,2,2,0,43,36,0,0,1,0,0,0,1,0,31,Fulham
5,17 Sep 20:00,2,2,False,1,4.4,85938,909,8196,-7287,90,0,0,0,2,0,0,0,0,0,0,15,11.6,10.2,0.0,2.2,0,0,0,4,6,1,0,0,47,40,0,0,0,0,0,0,0,0,47,Southampton
6,22 Sep 17:30,1,2,True,1,4.4,81353,460,5281,-4821,90,0,0,0,2,0,0,0,0,0,0,10,14.2,0.0,12.0,2.6,0,0,0,11,3,0,0,0,23,19,0,0,0,0,0,2,0,0,52,Spurs
7,29 Sep 15:00,2,0,False,1,4.4,77723,515,4268,-3753,90,0,0,0,2,0,0,0,0,0,0,12,26.8,0.0,0.0,2.7,0,0,0,10,3,0,0,0,14,8,0,0,0,0,0,0,0,0,67,Man City
8,05 Oct 20:00,1,0,True,6,4.4,75661,769,2976,-2207,90,0,0,1,0,0,0,0,0,0,0,23,15.8,0.2,0.0,1.6,0,0,0,6,7,0,1,0,21,16,0,0,0,1,0,0,1,0,71,West Ham
9,20 Oct 15:00,0,1,False,8,4.4,75812,2923,3155,-232,90,0,0,1,0,0,0,0,0,0,2,31,44.6,0.1,0.0,4.5,0,0,0,20,2,0,2,0,16,10,0,0,0,0,0,0,1,0,88,Newcastle
10,27 Oct 15:00,1,0,True,5,4.4,84690,9597,2129,7468,90,0,0,1,0,0,0,1,0,0,0,27,33.4,0.2,2.0,3.6,0,0,0,12,5,0,2,0,38,28,0,0,0,0,0,0,1,0,91,Wolves
11,03 Nov 15:00,3,1,False,6,4.4,89245,7210,2596,4614,90,1,0,0,3,0,0,1,0,0,0,17,40.0,0.3,35.0,7.5,0,0,0,8,9,0,0,0,47,35,0,0,1,1,0,0,3,0,105,Everton
12,10 Nov 12:30,2,1,False,9,4.4,131165,39339,2714,36625,90,1,0,0,2,0,0,0,0,0,2,26,67.8,0.0,33.0,10.1,0,0,0,16,7,0,0,0,33,21,0,0,0,0,0,0,2,0,112,Cardiff
13,24 Nov 15:00,1,1,True,3,4.5,250915,119012,6918,112094,90,0,0,0,1,0,0,0,0,0,1,19,17.0,0.3,0.0,1.7,0,0,0,7,8,0,2,0,49,40,0,0,0,0,0,0,0,0,122,Leicester
