entry,value
player_id,92
web_name,Ecuele Manga
team,Cardiff
first_name,Bruno
second_name,Ecuele Manga
cost_end,4.4
value_form,0.7
value_season,22.0
cost_change_start,-0.1
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.4
total_points,97
ppg,2.6
minutes,3375
goals_scored,0
assists,1
clean_sheets,10
goals_conceded,67
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,4
bps,581
influence,722.0
creativity,105.5
threat,172.0
ict_index,100.4
ea_index,0
position,Defender
