entry,value
player_id,364
web_name,Eriksen
team,Spurs
first_name,Christian
second_name,Eriksen
cost_end,9.2
value_form,0.5
value_season,17.5
cost_change_start,-3
cost_start,12.2
dreamteam_count,3
selected_by_percent,7.7
total_points,161
ppg,4.6
minutes,2770
goals_scored,8
assists,12
clean_sheets,8
goals_conceded,37
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,15
bps,675
influence,876.0
creativity,1148.7
threat,801.0
ict_index,283.0
ea_index,0
position,Midfielder
