,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2,1,False,0,5.0,17835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Man Utd
2,18 Aug 15:00,2,0,True,5,5.0,19070,517,1736,-1219,90,0,0,1,0,0,0,1,0,0,0,23,13.6,0.4,0.0,1.4,0,0,0,9,3,0,0,0,36,30,0,0,0,0,0,0,0,0,17,Wolves
3,25 Aug 15:00,1,2,False,0,5.0,21022,1720,1247,473,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Southampton
4,01 Sep 12:30,1,2,True,0,5.0,19444,531,2665,-2134,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,Liverpool
5,15 Sep 15:00,4,2,False,1,4.9,17965,342,2295,-1953,6,0,0,0,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,41,Bournemouth
6,22 Sep 15:00,3,1,True,2,4.9,18065,825,1186,-361,90,0,0,0,1,0,0,0,0,0,0,15,15.8,0.4,0.0,1.6,0,0,0,5,7,0,0,0,52,47,0,0,0,0,0,0,1,0,57,Huddersfield
7,29 Sep 15:00,0,2,False,0,4.9,17783,326,826,-500,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,Newcastle
8,06 Oct 15:00,1,2,True,0,4.9,16885,124,1112,-988,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,Everton
9,22 Oct 20:00,3,1,False,1,4.8,16100,190,1142,-952,90,0,0,0,3,0,0,0,0,0,0,9,10.0,0.1,2.0,1.2,0,0,0,6,7,0,0,0,20,16,0,0,0,2,0,0,0,0,81,Arsenal
10,27 Oct 17:30,1,1,True,0,4.8,16135,372,545,-173,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,West Ham
