,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,0,2,True,3,4.5,13175,0,0,0,90,0,0,0,2,0,0,0,0,7,0,20,49.8,0.0,0.0,5.0,0,0,0,0,10,0,0,0,19,15,0,0,1,0,0,0,0,0,3,Crystal Palace
2,18 Aug 15:00,3,1,False,5,4.5,15721,772,928,-156,90,0,0,0,3,0,0,0,0,8,2,27,65.4,0.0,0.0,6.5,0,0,0,3,11,0,1,0,28,16,0,0,0,0,0,0,0,0,19,Spurs
3,26 Aug 16:00,4,2,True,0,4.5,22278,6417,2478,3939,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Burnley
4,01 Sep 15:00,2,2,False,0,4.5,20896,1268,2867,-1599,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Brighton
5,15 Sep 15:00,3,0,False,0,4.5,18577,268,2891,-2623,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,Man City
6,22 Sep 12:30,1,1,True,0,4.5,17296,124,1582,-1458,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,Watford
7,29 Sep 15:00,3,0,False,0,4.4,16363,120,1175,-1055,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,Everton
8,07 Oct 12:00,1,5,True,0,4.4,15741,127,858,-731,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Arsenal
9,20 Oct 15:00,4,2,False,0,4.4,15157,189,902,-713,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,Cardiff
10,27 Oct 15:00,0,3,True,0,4.4,14657,94,657,-563,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Bournemouth
11,05 Nov 20:00,1,0,False,0,4.3,15178,838,681,157,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,Huddersfield
12,11 Nov 12:00,2,0,False,0,4.3,15751,933,588,345,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,Liverpool
13,24 Nov 15:00,3,2,True,0,4.3,16359,1009,642,367,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,Southampton
14,02 Dec 12:00,2,0,False,0,4.3,16481,580,426,154,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,Chelsea
15,05 Dec 19:45,1,1,True,0,4.3,16735,575,432,143,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,Leicester
16,08 Dec 15:00,4,1,False,0,4.3,16994,557,484,73,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,Man Utd
17,15 Dec 17:30,0,2,True,0,4.3,17306,800,558,242,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,West Ham
18,22 Dec 15:00,0,0,False,0,4.3,17436,544,509,35,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,Newcastle
19,26 Dec 12:30,1,1,True,0,4.3,17693,689,537,152,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,Wolves
20,29 Dec 15:00,1,0,True,0,4.3,17292,170,545,-375,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,Huddersfield
21,01 Jan 15:00,4,1,False,0,4.3,16742,68,643,-575,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,Arsenal
22,12 Jan 15:00,2,1,False,0,4.3,16215,91,657,-566,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,Burnley
23,20 Jan 16:00,1,2,True,0,4.3,15774,70,552,-482,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,Spurs
24,29 Jan 19:45,4,2,True,0,4.3,15481,58,384,-326,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,Brighton
25,02 Feb 15:00,2,0,False,0,4.3,15227,20,254,-234,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,Crystal Palace
26,09 Feb 12:30,0,3,True,0,4.3,15029,28,284,-256,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,Man Utd
27,22 Feb 19:45,3,1,False,0,4.3,14776,47,276,-229,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,West Ham
28,27 Feb 19:45,2,0,False,0,4.3,14755,21,106,-85,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,Southampton
29,03 Mar 14:05,1,2,True,0,4.3,14630,26,163,-137,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,Chelsea
30,09 Mar 15:00,3,1,False,0,4.3,14542,23,123,-100,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,Leicester
31,17 Mar 14:15,1,2,True,0,4.3,14649,72,136,-64,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,Liverpool
32,30 Mar 12:30,0,2,True,0,4.2,14372,72,201,-129,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,Man City
33,02 Apr 19:45,4,1,False,0,4.2,14372,72,201,-129,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,Watford
34,13 Apr 15:00,2,0,True,0,4.2,14228,40,131,-91,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,Everton
35,20 Apr 15:00,0,1,False,0,4.2,14154,48,133,-85,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,Bournemouth
36,27 Apr 15:00,1,0,True,0,4.2,14140,58,94,-36,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,Cardiff
37,04 May 15:00,1,0,False,0,4.2,14110,66,106,-40,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,Wolves
38,12 May 15:00,0,4,True,0,4.2,14037,73,143,-70,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,Newcastle
