,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2,1,True,1,5.0,28693,0,0,0,6,0,0,0,1,0,0,0,0,0,0,4,7.0,0.0,0.0,0.7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Leicester
2,19 Aug 16:00,3,2,False,4,5.0,34174,2101,3874,-1773,30,0,1,0,0,0,0,0,0,0,0,12,2.6,3.7,2.0,0.8,0,0,0,0,1,0,0,0,16,12,0,0,0,0,0,0,0,0,11,Brighton
3,27 Aug 20:00,0,3,True,1,5.0,37450,4162,4410,-248,29,0,0,0,1,0,0,0,0,0,0,5,4.0,17.3,4.0,2.5,0,1,0,0,5,1,0,0,21,15,0,0,0,0,0,0,1,0,26,Spurs
4,02 Sep 16:00,0,2,False,3,5.0,36358,2185,4955,-2770,90,0,0,1,0,0,0,0,0,0,0,16,20.8,4.8,0.0,2.6,0,0,0,7,7,0,1,0,54,50,0,0,0,2,0,0,1,0,32,Burnley
5,15 Sep 17:30,1,2,False,5,5.0,35151,3694,6267,-2573,90,0,1,0,1,0,0,0,0,0,0,24,40.0,12.4,4.0,5.6,0,0,0,6,10,1,1,0,65,53,0,0,0,2,0,0,1,0,49,Watford
6,22 Sep 15:00,1,1,True,2,5.0,56143,22914,4996,17918,90,0,0,0,1,0,0,0,0,0,0,14,22.2,4.4,53.0,8.0,0,0,0,6,9,0,1,0,77,67,0,0,0,1,1,0,2,0,59,Wolves
7,29 Sep 12:30,3,1,False,2,5.0,58421,7204,5265,1939,90,0,0,0,3,0,0,0,0,0,0,9,16.8,2.6,23.0,4.2,0,0,0,5,4,0,1,0,34,28,0,1,0,2,0,0,1,0,69,West Ham
8,06 Oct 17:30,3,2,True,1,5.0,61636,7258,5219,2039,45,0,0,0,0,0,0,0,0,0,0,5,6.2,12.7,23.0,4.2,0,0,0,0,3,1,0,0,18,17,0,0,0,0,0,0,0,0,77,Newcastle
9,20 Oct 12:30,2,2,False,0,5.0,55914,3879,9810,-5931,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Chelsea
10,28 Oct 16:00,2,1,True,0,5.0,44930,168,11130,-10962,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Everton
11,03 Nov 12:30,1,2,False,0,5.0,37057,80,8225,-8145,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,Bournemouth
12,11 Nov 16:30,3,1,False,2,4.9,35442,871,2848,-1977,90,0,0,0,3,0,0,0,0,0,0,16,21.8,2.5,4.0,2.8,0,0,0,8,3,0,2,0,48,39,0,0,0,1,0,0,2,0,118,Man City
13,24 Nov 15:00,0,0,True,1,4.9,36820,2149,1323,826,30,0,0,0,0,0,0,0,0,0,0,2,5.6,1.5,2.0,0.9,0,0,0,1,2,0,0,0,12,7,0,0,0,0,0,0,1,0,126,Crystal Palace
14,01 Dec 17:30,2,2,False,1,4.9,38209,2233,1031,1202,90,0,0,0,2,0,0,1,0,0,0,6,5.4,2.2,4.0,1.2,0,0,0,2,2,0,2,0,49,42,0,0,0,3,0,1,2,0,140,Southampton
15,05 Dec 20:00,2,2,True,1,4.9,39290,2427,1551,876,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,18.0,1.7,0,0,0,0,2,0,0,0,8,6,0,0,0,0,1,0,2,0,145,Arsenal
16,08 Dec 15:00,4,1,True,0,4.9,39573,1652,1643,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,Fulham
17,16 Dec 16:00,3,1,False,1,4.9,37814,708,2517,-1809,45,0,0,0,2,0,0,0,0,0,0,3,19.8,1.0,8.0,2.9,0,0,0,4,2,0,0,0,22,7,0,0,0,0,0,1,2,1,165,Liverpool
18,22 Dec 17:30,1,5,False,1,4.9,36995,774,1849,-1075,3,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,173,Cardiff
19,26 Dec 15:00,3,1,True,0,4.9,35597,552,2060,-1508,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,Huddersfield
