,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,19 Aug 13:30,6.0,1.0,1.0,2.0,5.5,330200.0,13365.0,31892.0,-18527.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.4,4.8,10.0,3.1,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,63.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,Huddersfield
2,25 Aug 12:30,1.0,1.0,0.0,2.0,5.5,295719.0,8257.0,47235.0,-38978.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,4.6,11.0,2.6,0.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,74.0,64.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,30.0,Wolves
3,01 Sep 17:30,2.0,1.0,1.0,2.0,5.4,273879.0,4966.0,31637.0,-26671.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.4,31.0,37.0,8.4,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,98.0,79.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,38.0,Newcastle
4,15 Sep 15:00,3.0,0.0,1.0,6.0,5.4,256461.0,6332.0,26878.0,-20546.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,30.4,24.2,9.0,6.4,0.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,67.0,56.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,45.0,Fulham
5,22 Sep 15:00,0.0,5.0,0.0,2.0,5.4,259304.0,13523.0,14045.0,-522.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.6,3.3,5.0,1.2,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,44.0,39.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,54.0,Cardiff
6,29 Sep 15:00,2.0,0.0,1.0,3.0,5.4,246489.0,4062.0,17217.0,-13155.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.8,42.8,9.0,7.3,0.0,0.0,0.0,4.0,6.0,3.0,0.0,0.0,111.0,98.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,67.0,Brighton
7,07 Oct 16:30,0.0,0.0,0.0,3.0,5.4,240689.0,5163.0,12113.0,-6950.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.2,2.3,1.0,1.9,0.0,0.0,0.0,7.0,7.0,0.0,3.0,0.0,52.0,42.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,76.0,Liverpool
8,20 Oct 15:00,5.0,0.0,1.0,14.0,5.4,238959.0,9494.0,13069.0,-3575.0,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,64.8,15.0,9.0,8.9,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,84.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87.0,Burnley
9,29 Oct 20:00,0.0,1.0,0.0,2.0,5.4,302437.0,65624.0,8136.0,57488.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,18.8,3.1,0.0,2.2,0.0,0.0,0.0,6.0,5.0,0.0,3.0,0.0,55.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,99.0,Spurs
10,04 Nov 15:00,6.0,1.0,1.0,2.0,5.4,317074.0,31470.0,16882.0,14588.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,4.9,2.0,2.5,0.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,65.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,107.0,Southampton
