,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,4,0,True,5,9.5,1687015,0,0,0,68,0,1,1,0,0,0,0,0,0,0,23,22.6,29.5,15.0,6.7,0,0,1,0,1,2,0,0,35,28,0,0,0,1,0,1,1,2,5,West Ham
2,20 Aug 20:00,0,2,False,2,9.5,1829586,75351,85043,-9692,90,0,0,1,0,0,0,0,0,0,0,11,8.0,17.9,7.0,3.3,0,0,0,1,1,1,0,0,43,37,0,0,0,3,0,1,0,4,15,Crystal Palace
3,25 Aug 17:30,1,0,True,5,9.5,1645297,69191,277522,-208331,90,0,1,1,0,0,0,0,0,0,0,11,27.8,15.3,83.0,12.6,0,0,0,0,3,1,0,0,46,35,0,1,0,4,0,1,1,1,25,Brighton
4,01 Sep 12:30,1,2,False,7,9.5,1512854,34316,188566,-154250,90,1,0,0,1,0,0,0,0,0,1,26,46.2,13.4,44.0,10.4,0,0,0,0,4,1,1,1,37,29,0,1,0,7,0,0,5,2,37,Leicester
5,15 Sep 12:30,1,2,False,9,9.4,1427095,44023,150807,-106784,73,1,0,1,0,0,0,0,0,0,3,39,40.8,15.4,39.0,9.5,0,0,0,2,3,1,1,1,30,24,0,0,0,2,0,0,1,0,48,Spurs
6,22 Sep 15:00,3,0,True,2,9.4,1451654,84280,79866,4414,90,0,0,1,0,0,0,0,0,0,0,7,8.6,22.7,32.0,6.3,0,0,0,0,4,1,2,0,51,38,0,0,0,4,0,1,2,0,58,Southampton
7,29 Sep 17:30,1,1,False,2,9.4,1379378,28416,104166,-75750,90,0,0,0,1,0,0,0,0,0,0,15,12.6,47.3,50.0,11.0,0,0,1,0,3,4,2,0,30,24,0,1,0,2,0,0,2,0,64,Chelsea
8,07 Oct 16:30,0,0,True,2,9.4,1287583,17348,114151,-96803,71,0,0,1,0,0,0,0,0,0,0,3,0.0,1.7,4.0,0.6,0,0,0,1,2,0,0,0,17,13,0,0,0,1,0,0,2,0,76,Man City
9,20 Oct 17:30,0,1,False,1,9.3,1258700,61741,106686,-44945,13,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,1.0,0.0,0,0,0,0,2,0,0,0,9,6,0,0,0,0,0,1,1,0,86,Huddersfield
10,27 Oct 15:00,4,1,True,2,9.3,1261777,72141,76997,-4856,70,0,0,1,0,0,0,0,0,0,0,11,7.2,16.4,9.0,3.3,0,0,0,1,4,1,0,0,54,44,0,0,0,2,0,1,0,2,96,Cardiff
11,03 Nov 17:30,1,1,False,2,9.3,1128738,19959,148220,-128261,79,0,0,1,0,0,0,0,0,0,0,-4,0.0,2.1,22.0,1.9,0,0,0,0,3,0,0,0,18,15,0,1,0,5,0,2,1,0,101,Arsenal
12,11 Nov 12:00,2,0,True,2,9.2,1063775,25156,97355,-72199,90,0,0,1,0,0,0,0,0,0,0,16,17.6,59.6,19.0,9.6,0,0,1,0,2,5,0,0,50,46,0,0,0,3,0,0,1,0,117,Fulham
13,24 Nov 15:00,0,3,False,12,9.2,1006917,23963,83789,-59826,90,1,1,1,0,0,0,0,0,0,3,46,43.6,17.5,60.0,12.1,0,0,0,3,6,1,0,0,41,36,0,0,0,0,1,1,1,2,128,Watford
14,02 Dec 16:15,1,0,True,2,9.2,1026529,37396,22429,14967,83,0,0,1,0,0,0,0,0,0,0,8,3.2,13.5,17.0,3.4,0,0,1,0,2,1,1,0,27,24,0,0,0,2,0,2,1,1,137,Everton
15,05 Dec 19:45,1,3,False,7,9.2,989784,23186,59540,-36354,24,1,0,0,0,0,0,0,0,0,2,31,38.2,11.5,35.0,8.5,0,0,0,1,1,1,0,1,18,16,0,0,0,0,0,0,1,1,143,Burnley
16,08 Dec 12:30,0,4,False,9,9.2,1005638,44184,33065,11119,80,0,2,1,0,0,0,0,0,0,1,31,24.4,21.8,9.0,5.5,0,0,0,2,6,1,0,0,38,33,0,0,0,1,0,0,1,1,152,Bournemouth
17,16 Dec 16:00,3,1,True,2,9.2,1022831,48345,32893,15452,90,0,0,0,1,0,0,0,0,0,0,9,11.4,20.3,115.0,14.7,0,0,0,2,5,1,1,0,70,59,0,0,0,3,0,3,2,2,165,Man Utd
18,21 Dec 20:00,0,2,False,2,9.2,1021453,29168,33735,-4567,75,0,0,1,0,0,0,0,0,0,0,11,6.4,12.3,18.0,3.7,0,0,0,0,3,0,0,0,57,50,0,0,0,3,0,0,0,3,180,Wolves
