entry,value
player_id,511
web_name,Fosu-Mensah
team,Fulham
first_name,Timothy
second_name,Fosu-Mensah
cost_end,4.5
value_form,0.0
value_season,3.1
cost_change_start,0.0
cost_start,4.5
dreamteam_count,0
selected_by_percent,0.3
total_points,14
ppg,1.2
minutes,791
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,18
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,1
bps,119
influence,136.4
creativity,100.3
threat,28.0
ict_index,26.4
ea_index,0
position,Defender
