,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,03 Nov 19:45,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,10.2,0.3,0.0,1.1,0.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,59.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,110.0,Wolves
2,10 Nov 17:30,0.0,1.0,0.0,15.0,5.0,84.0,72.0,20.0,52.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,52.6,1.5,33.0,8.7,0.0,0.0,0.0,9.0,5.0,0.0,0.0,1.0,86.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,114.0,Crystal Palace
3,24 Nov 17:30,3.0,1.0,1.0,2.0,5.0,30215.0,27547.0,1938.0,25609.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.6,0.3,7.0,2.7,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,127.0,Chelsea
4,02 Dec 14:05,4.0,2.0,0.0,0.0,5.0,31956.0,4949.0,2138.0,2811.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,33.0,21.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,131.0,Arsenal
5,05 Dec 20:00,3.0,1.0,1.0,2.0,5.0,43550.0,13194.0,3289.0,9905.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,28.6,0.9,0.0,3.0,0.0,0.0,0.0,12.0,4.0,0.0,1.0,0.0,58.0,51.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,150.0,Southampton
6,08 Dec 19:45,0.0,2.0,0.0,0.0,5.0,41542.0,8773.0,10276.0,-1503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,Leicester
7,15 Dec 15:00,1.0,0.0,1.0,0.0,5.0,28716.0,346.0,12599.0,-12253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,Burnley
8,23 Dec 16:00,2.0,6.0,0.0,0.0,5.0,25014.0,311.0,4539.0,-4228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,Everton
9,26 Dec 15:00,5.0,0.0,1.0,6.0,5.0,22030.0,302.0,3424.0,-3122.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,26.2,0.8,0.0,2.7,0.0,0.0,0.0,9.0,8.0,0.0,1.0,0.0,82.0,78.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,189.0,Bournemouth
10,29 Dec 15:00,1.0,3.0,1.0,0.0,5.0,22666.0,1550.0,1206.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,Wolves
