entry,value
player_id,26
web_name,Francis
team,Bournemouth
first_name,Simon
second_name,Francis
cost_end,4.3
value_form,0.0
value_season,9.3
cost_change_start,-2
cost_start,6.3
dreamteam_count,0
selected_by_percent,0.2
total_points,40
ppg,2.4
minutes,1227
goals_scored,0
assists,2
clean_sheets,4
goals_conceded,24
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,244
influence,332.4
creativity,173.3
threat,39.0
ict_index,54.4
ea_index,0
position,Defender
