,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,11 Aug 15:00,2,0,True,11,5.5,57385,0,0,0,90,1,0,1,0,0,0,0,0,0,3,38,42.8,43.3,25.0,11.1,0,0,2,1,3,3,0,1,47,37,0,0,0,1,0,1,0,1,2,Cardiff
2,18 Aug 15:00,1,2,False,6,5.5,131407,46466,10849,35617,90,0,1,0,1,0,0,0,0,0,1,29,30.8,27.5,14.0,7.2,0,1,1,2,4,3,1,0,32,25,0,0,0,0,0,0,0,1,20,West Ham
3,25 Aug 15:00,2,2,True,2,5.6,274331,159162,40884,118278,90,0,0,0,2,0,0,0,0,0,0,21,25.0,49.0,25.0,9.9,0,1,2,4,3,4,0,0,30,22,0,0,0,2,1,0,0,2,22,Everton
4,01 Sep 15:00,2,0,False,2,5.6,293372,58132,42058,16074,90,0,0,0,2,0,0,0,0,0,0,3,4.0,2.2,26.0,3.2,0,0,0,1,3,0,0,0,18,14,0,0,0,2,1,1,0,0,34,Chelsea
5,15 Sep 15:00,4,2,True,18,5.6,298440,77133,79293,-2160,90,2,1,0,2,0,0,0,0,0,3,56,88.4,22.2,38.0,14.9,0,0,1,0,0,2,1,0,29,22,0,0,0,2,0,0,0,0,41,Leicester
6,22 Sep 15:00,4,0,False,2,5.8,938301,623617,21893,601724,90,0,0,0,4,0,0,0,0,0,0,13,15.2,51.2,37.0,10.3,0,0,0,1,4,4,0,0,56,49,0,0,0,1,0,1,0,0,53,Burnley
7,01 Oct 20:00,2,1,True,1,5.9,1153520,257544,42412,215132,90,0,0,0,1,0,0,1,0,0,0,18,14.2,56.6,0.0,7.1,0,3,1,1,6,4,0,0,41,31,0,0,0,1,0,0,0,2,62,Crystal Palace
8,06 Oct 15:00,0,4,False,6,6.0,1226339,134661,57871,76790,65,0,1,1,0,0,0,0,0,0,0,19,21.6,34.0,0.0,5.6,0,1,1,0,1,2,0,0,19,15,0,0,0,1,1,0,0,0,80,Watford
9,20 Oct 15:00,0,0,True,3,6.0,1215297,141922,153298,-11376,76,0,0,1,0,0,0,0,0,0,0,9,7.4,16.8,2.0,2.6,0,0,0,1,3,2,0,0,25,19,0,0,0,0,0,0,0,0,82,Southampton
10,27 Oct 15:00,0,3,False,11,6.0,1317023,133007,48449,84558,88,0,2,1,0,0,0,0,0,0,2,41,43.2,37.4,13.0,9.4,0,1,3,1,2,3,0,0,36,30,0,0,0,2,0,0,0,2,94,Fulham
11,03 Nov 12:30,1,2,True,2,6.1,1379584,122073,59732,62341,73,0,0,0,1,0,0,0,0,0,0,9,14.6,36.0,40.0,9.1,0,0,1,1,2,3,0,0,26,18,0,0,0,4,0,0,0,1,102,Man Utd
12,10 Nov 15:00,2,1,False,6,6.1,1480855,133345,43792,89553,90,0,1,0,2,0,0,0,0,0,1,20,35.8,76.2,31.0,14.3,0,2,1,0,7,5,0,0,30,20,0,0,0,8,0,0,0,1,119,Newcastle
13,25 Nov 13:30,1,2,True,2,6.2,1537996,114746,59031,55715,90,0,0,0,2,0,0,0,0,0,0,10,17.4,14.9,9.0,4.1,0,2,0,3,6,0,0,0,26,21,0,0,0,1,0,0,0,0,121,Arsenal
14,01 Dec 15:00,3,1,False,2,6.2,1496185,33069,74754,-41685,71,0,0,0,2,0,0,0,0,0,0,10,3.6,22.9,4.0,3.1,0,0,0,0,7,2,0,0,25,17,0,0,0,0,0,0,0,0,138,Man City
15,04 Dec 19:45,2,1,True,12,6.2,1565735,100736,41627,59109,86,1,1,0,1,0,0,0,0,0,2,41,56.6,30.1,17.0,10.4,0,2,1,2,5,2,0,1,18,16,0,0,0,2,2,0,0,0,141,Huddersfield
16,08 Dec 12:30,0,4,True,2,6.3,1662098,126977,27554,99423,90,0,0,0,4,0,0,0,0,0,0,10,5.8,8.8,0.0,1.5,0,1,0,0,4,0,1,0,32,25,0,0,0,1,1,0,0,0,152,Liverpool
17,15 Dec 15:00,2,0,False,2,6.3,1729792,97662,43624,54038,90,0,0,0,2,0,0,0,0,0,0,12,9.6,33.2,4.0,4.7,0,1,0,0,9,2,0,0,49,37,0,0,0,2,0,0,0,0,170,Wolves
18,22 Dec 15:00,2,0,True,4,6.3,1729703,61567,65886,-4319,25,0,1,0,0,0,0,0,0,0,0,18,27.2,34.6,2.0,6.4,0,3,0,0,0,2,0,0,24,19,0,0,0,0,0,0,0,1,172,Brighton
19,26 Dec 15:00,5,0,False,2,6.3,1566575,30072,187147,-157075,90,0,0,0,5,0,0,0,0,0,0,18,19.2,69.3,22.0,11.1,0,2,1,2,3,4,0,0,39,31,0,0,0,1,0,0,0,0,189,Spurs
20,30 Dec 16:30,4,1,False,1,6.2,1369286,18535,214684,-196149,24,0,0,0,1,0,0,0,0,0,0,4,2.6,10.9,2.0,1.6,0,0,0,0,0,1,0,0,8,6,0,0,0,0,0,0,0,0,197,Man Utd
21,02 Jan 19:45,3,3,True,12,6.1,1281166,39865,142326,-102461,81,1,1,0,3,0,0,0,0,0,2,42,63.8,42.6,65.0,17.1,0,1,1,0,4,3,0,0,37,30,0,1,0,1,0,0,0,1,202,Watford
22,13 Jan 14:15,2,0,False,2,6.1,1323274,167101,133801,33300,90,0,0,0,2,0,0,0,0,0,0,19,22.4,72.4,19.0,11.4,0,3,0,3,5,5,1,0,33,18,0,0,0,0,0,0,0,1,216,Everton
23,19 Jan 15:00,2,0,True,3,6.1,1376093,134770,87695,47075,90,0,0,1,0,0,0,0,0,0,0,15,15.2,37.6,4.0,5.7,0,1,0,3,6,3,1,0,29,23,0,0,0,1,0,0,0,1,222,West Ham
24,30 Jan 19:45,4,0,True,3,6.1,1345897,55403,87313,-31910,90,0,0,1,0,0,0,0,0,0,0,8,5.8,3.1,4.0,1.3,0,0,0,2,2,0,1,0,25,20,0,0,0,0,1,0,0,0,232,Chelsea
25,02 Feb 17:30,2,0,False,2,6.1,1342898,64120,58854,5266,90,0,0,0,2,0,0,0,0,0,0,8,3.0,29.0,17.0,4.9,0,1,0,0,5,1,0,0,44,33,0,0,0,1,0,2,0,0,243,Cardiff
26,09 Feb 15:00,3,0,False,2,6.1,1282306,37291,108332,-71041,90,0,0,0,3,0,0,0,0,0,0,10,18.4,12.3,31.0,6.2,0,0,0,2,6,1,0,0,27,21,0,0,0,2,1,0,0,3,255,Liverpool
27,23 Feb 15:00,1,1,True,3,6.1,1317040,77574,56910,20664,90,0,0,0,1,0,0,0,0,0,1,20,21.0,38.0,8.0,6.7,0,2,0,5,2,2,2,0,33,28,0,0,0,1,0,0,0,1,262,Wolves
28,27 Feb 19:45,5,1,False,2,6.1,1275534,19855,52260,-32405,79,0,0,0,5,0,0,0,0,0,0,7,10.4,17.2,24.0,5.2,0,0,0,2,0,1,1,0,26,21,0,0,0,0,1,0,2,0,271,Arsenal
