,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,10 Aug 20:00,2,1,True,2,6.0,232569,0,0,0,75,0,0,1,0,0,0,1,0,0,0,8,4.6,5.1,0.0,1.0,0,0,0,5,5,0,1,0,52,48,0,0,0,2,0,0,3,0,6,Leicester
2,19 Aug 16:00,3,2,False,2,6.0,233342,14147,36925,-22778,90,0,0,0,3,0,0,0,0,0,0,8,6.8,3.9,1.0,1.2,0,0,0,2,7,0,0,0,79,73,0,0,0,4,0,1,3,1,11,Brighton
3,27 Aug 20:00,0,3,True,2,5.9,180309,4785,61089,-56304,90,0,0,0,3,0,0,0,0,0,0,11,11.2,60.5,20.0,9.2,0,2,0,2,10,4,0,0,50,38,0,0,0,4,0,3,1,1,26,Spurs
4,02 Sep 16:00,0,2,False,0,5.9,159503,7106,33348,-26242,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Burnley
5,15 Sep 17:30,1,2,False,0,5.8,136539,3715,29013,-25298,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,Watford
6,22 Sep 15:00,1,1,True,10,5.7,116036,1397,22925,-21528,62,1,0,0,1,0,0,0,0,0,3,32,47.0,9.1,25.0,8.1,0,1,0,3,9,0,0,0,68,64,0,0,0,1,0,1,1,0,59,Wolves
7,29 Sep 12:30,3,1,False,1,5.7,126102,12111,5224,6887,20,0,0,0,1,0,0,0,0,0,0,5,6.2,13.7,0.0,2.0,0,0,0,0,3,1,0,0,20,17,0,0,0,0,0,0,0,0,69,West Ham
8,06 Oct 17:30,3,2,True,0,5.7,118599,2799,10250,-7451,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,Newcastle
9,20 Oct 12:30,2,2,False,0,5.7,107019,2036,14186,-12150,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,Chelsea
10,28 Oct 16:00,2,1,True,2,5.6,98778,544,9249,-8705,90,0,0,0,1,0,0,0,0,0,0,15,9.2,24.5,11.0,4.5,0,0,1,0,8,2,0,0,50,45,0,0,0,1,0,1,2,0,97,Everton
11,03 Nov 12:30,1,2,False,1,5.6,94398,750,5539,-4789,55,0,0,0,1,0,0,0,0,0,0,2,16.0,1.2,4.0,2.1,0,0,0,4,7,0,1,0,32,22,0,1,0,0,0,1,3,0,102,Bournemouth
12,11 Nov 16:30,3,1,False,0,5.6,90465,389,4549,-4160,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,Man City
13,24 Nov 15:00,0,0,True,0,5.5,88106,533,3250,-2717,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,Crystal Palace
14,01 Dec 17:30,2,2,False,0,5.5,86509,228,1992,-1764,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,Southampton
15,05 Dec 20:00,2,2,True,0,5.5,84755,159,2005,-1846,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,Arsenal
16,08 Dec 15:00,4,1,True,1,5.5,83208,150,1789,-1639,17,0,0,0,0,0,0,0,0,0,0,3,3.2,1.2,4.0,0.8,0,0,0,0,4,0,0,0,20,19,0,0,0,0,1,0,0,0,158,Fulham
17,16 Dec 16:00,3,1,False,0,5.5,81578,161,1941,-1780,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,Liverpool
18,22 Dec 17:30,1,5,False,1,5.5,80789,340,1334,-994,11,0,0,0,0,0,0,0,0,0,0,6,4.8,1.2,0.0,0.6,0,0,0,0,0,0,1,0,24,22,0,0,0,0,0,0,0,1,173,Cardiff
19,26 Dec 15:00,3,1,True,0,5.5,79810,505,1622,-1117,53,0,0,0,0,0,0,1,0,0,0,2,8.0,4.3,0.0,1.2,0,0,0,1,8,0,0,0,48,44,0,0,0,6,0,0,1,1,187,Huddersfield
20,30 Dec 16:30,4,1,True,0,5.4,78795,466,1611,-1145,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,Bournemouth
21,02 Jan 20:00,0,2,False,0,5.4,77798,225,1326,-1101,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,Newcastle
22,13 Jan 16:30,0,1,False,0,5.4,76153,203,1950,-1747,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,Spurs
23,19 Jan 15:00,2,1,True,0,5.4,74999,133,1387,-1254,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,Brighton
