,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Jan 15:00,1,2,False,1,4.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,217,Leicester
2,19 Jan 15:00,2,1,True,0,4.5,1520,2020,771,1249,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,Everton
3,30 Jan 19:45,1,1,True,0,4.5,2458,1670,785,885,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,Crystal Palace
4,02 Feb 15:00,1,1,False,0,4.5,4657,2000,715,1285,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,Burnley
5,09 Feb 15:00,1,2,True,1,4.5,4426,1514,1093,421,7,0,0,0,1,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,257,Cardiff
6,24 Feb 14:05,2,0,False,0,4.5,6626,2866,1188,1678,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,Arsenal
7,27 Feb 19:45,2,0,True,0,4.5,6813,970,554,416,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,Fulham
8,02 Mar 15:00,3,2,False,1,4.5,7233,1023,656,367,1,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,Man Utd
9,09 Mar 15:00,2,1,True,0,4.5,7941,1412,837,575,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,Spurs
10,30 Mar 15:00,0,1,False,1,4.5,7987,822,722,100,23,0,0,0,0,0,0,0,0,0,0,-3,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,3,0,0,0,0,2,0,0,4,0,312,Brighton
11,05 Apr 20:00,1,3,True,0,4.5,9410,1468,588,880,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,Liverpool
12,13 Apr 15:00,3,1,True,0,4.5,9417,1324,843,481,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,Wolves
13,20 Apr 17:30,3,1,False,0,4.5,9495,872,858,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,Newcastle
14,23 Apr 19:45,1,1,False,0,4.5,9495,872,858,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,Watford
15,27 Apr 15:00,3,3,True,0,4.5,9310,343,517,-174,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,Bournemouth
16,04 May 15:00,3,0,False,0,4.5,9139,306,497,-191,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,West Ham
17,12 May 15:00,1,1,True,0,4.5,8849,275,571,-296,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,Huddersfield
